Serial,ElevationAngle(degree),Azimuth(degree)
20240103151013,23.81,218.88
20240103152013,22.08,220.9
20240103153013,20.31,222.93
20240103154013,18.5,224.95
20240103155013,16.66,226.98
20240103160013,14.78,229.0
20240103161013,12.88,231.03
20240103162013,10.94,233.05
20240103163013,8.98,235.08
20240103164013,6.99,237.1
20240103165013,4.99,239.13
20240103170013,2.96,241.15
20240103171013,0.91,243.18
20240104064013,-0.33,115.61
20240104065013,1.73,117.63
20240104070013,3.77,119.66
20240104071013,5.79,121.68
20240104072013,7.79,123.71
20240104073013,9.77,125.73
20240104074013,11.72,127.76
20240104075013,13.64,129.78
20240104080013,15.54,131.81
20240104081013,17.4,133.83
20240104082013,19.23,135.86
20240104083013,21.03,137.88
20240104084013,22.78,139.91
20240104085013,24.49,141.93
20240104090013,26.16,143.96
20240104091013,27.77,145.98
20240104092013,29.34,148.01
20240104093013,30.84,150.03
20240104094013,32.28,152.06
20240104095013,33.66,154.08
20240104100013,34.96,156.11
20240104101013,36.18,158.13
20240104102013,37.32,160.16
20240104103013,38.37,162.18
20240104104013,39.33,164.21
20240104105013,40.18,166.23
20240104110013,40.94,168.26
20240104111013,41.58,170.28
20240104112013,42.1,172.31
20240104113013,42.51,174.33
20240104114013,42.8,176.36
20240104115013,42.96,178.38
20240104120013,43.0,180.4
20240104121013,42.91,182.43
20240104122013,42.7,184.45
20240104123013,42.36,186.48
20240104124013,41.91,188.5
20240104125013,41.33,190.53
20240104130013,40.65,192.55
20240104131013,39.85,194.58
20240104132013,38.96,196.6
20240104133013,37.96,198.63
20240104134013,36.88,200.65
20240104135013,35.7,202.68
20240104140013,34.45,204.7
20240104141013,33.12,206.73
20240104142013,31.71,208.75
20240104143013,30.25,210.78
20240104144013,28.72,212.8
20240104145013,27.13,214.83
20240104150013,25.5,216.85
20240104151013,23.81,218.88
20240104152013,22.08,220.9
20240104153013,20.31,222.93
20240104154013,18.5,224.95
20240104155013,16.66,226.98
20240104160013,14.78,229.0
20240104161013,12.88,231.03
20240104162013,10.94,233.05
20240104163013,8.98,235.08
20240104164013,6.99,237.1
20240104165013,4.99,239.13
20240104170013,2.96,241.15
20240104171013,0.91,243.18
20240105064013,-0.53,115.61
20240105065013,1.53,117.63
20240105070013,3.57,119.65
20240105071013,5.59,121.67
20240105072013,7.59,123.69
20240105073013,9.57,125.72
20240105074013,11.52,127.74
20240105075013,13.45,129.76
20240105080013,15.35,131.78
20240105081013,17.22,133.8
20240105082013,19.05,135.82
20240105083013,20.85,137.85
20240105084013,22.61,139.87
20240105085013,24.32,141.89
20240105090013,25.99,143.91
20240105091013,27.62,145.93
20240105092013,29.18,147.95
20240105093013,30.69,149.98
20240105094013,32.14,152.0
20240105095013,33.52,154.02
20240105100013,34.83,156.04
20240105101013,36.06,158.06
20240105102013,37.21,160.09
20240105103013,38.27,162.11
20240105104013,39.24,164.13
20240105105013,40.1,166.15
20240105110013,40.87,168.17
20240105111013,41.52,170.19
20240105112013,42.06,172.22
20240105113013,42.48,174.24
20240105114013,42.77,176.26
20240105115013,42.95,178.28
20240105120013,43.0,180.3
20240105121013,42.92,182.33
20240105122013,42.72,184.35
20240105123013,42.4,186.37
20240105124013,41.96,188.39
20240105125013,41.4,190.41
20240105130013,40.72,192.43
20240105131013,39.94,194.46
20240105132013,39.05,196.48
20240105133013,38.07,198.5
20240105134013,36.99,200.52
20240105135013,35.82,202.54
20240105140013,34.58,204.56
20240105141013,33.25,206.59
20240105142013,31.86,208.61
20240105143013,30.4,210.63
20240105144013,28.87,212.65
20240105145013,27.3,214.67
20240105150013,25.66,216.7
20240105151013,23.98,218.72
20240105152013,22.26,220.74
20240105153013,20.49,222.76
20240105154013,18.69,224.78
20240105155013,16.85,226.8
20240105160013,14.97,228.83
20240105161013,13.07,230.85
20240105162013,11.13,232.87
20240105163013,9.18,234.89
20240105164013,7.19,236.91
20240105165013,5.19,238.93
20240105170013,3.16,240.96
20240105171013,1.12,242.98
20240105172013,-0.95,245.0
20240106064013,-0.53,114.41
20240106065013,1.53,116.46
20240106070013,3.57,118.52
20240106071013,5.59,120.57
20240106072013,7.59,122.62
20240106073013,9.57,124.67
20240106074013,11.52,126.73
20240106075013,13.45,128.78
20240106080013,15.35,130.83
20240106081013,17.22,132.89
20240106082013,19.05,134.94
20240106083013,20.85,136.99
20240106084013,22.61,139.05
20240106085013,24.32,141.1
20240106090013,25.99,143.15
20240106091013,27.62,145.2
20240106092013,29.18,147.26
20240106093013,30.69,149.31
20240106094013,32.14,151.36
20240106095013,33.52,153.42
20240106100013,34.83,155.47
20240106101013,36.06,157.52
20240106102013,37.21,159.57
20240106103013,38.27,161.63
20240106104013,39.24,163.68
20240106105013,40.1,165.73
20240106110013,40.87,167.79
20240106111013,41.52,169.84
20240106112013,42.06,171.89
20240106113013,42.48,173.94
20240106114013,42.77,176.0
20240106115013,42.95,178.05
20240106120013,43.0,180.1
20240106121013,42.92,182.16
20240106122013,42.72,184.21
20240106123013,42.4,186.26
20240106124013,41.96,188.31
20240106125013,41.4,190.37
20240106130013,40.72,192.42
20240106131013,39.94,194.47
20240106132013,39.05,196.53
20240106133013,38.07,198.58
20240106134013,36.99,200.63
20240106135013,35.82,202.68
20240106140013,34.58,204.74
20240106141013,33.25,206.79
20240106142013,31.86,208.84
20240106143013,30.4,210.9
20240106144013,28.87,212.95
20240106145013,27.3,215.0
20240106150013,25.66,217.05
20240106151013,23.98,219.11
20240106152013,22.26,221.16
20240106153013,20.49,223.21
20240106154013,18.69,225.27
20240106155013,16.85,227.32
20240106160013,14.97,229.37
20240106161013,13.07,231.42
20240106162013,11.13,233.48
20240106163013,9.18,235.53
20240106164013,7.19,237.58
20240106165013,5.19,239.64
20240106170013,3.16,241.69
20240106171013,1.12,243.74
20240106172013,-0.95,245.79
20240107064013,-0.1,114.41
20240107065013,1.98,116.46
20240107070013,4.04,118.52
20240107071013,6.07,120.57
20240107072013,8.09,122.62
20240107073013,10.09,124.67
20240107074013,12.06,126.73
20240107075013,14.0,128.78
20240107080013,15.92,130.83
20240107081013,17.81,132.89
20240107082013,19.66,134.94
20240107083013,21.48,136.99
20240107084013,23.26,139.05
20240107085013,25.0,141.1
20240107090013,26.69,143.15
20240107091013,28.33,145.2
20240107092013,29.92,147.26
20240107093013,31.46,149.31
20240107094013,32.93,151.36
20240107095013,34.33,153.42
20240107100013,35.66,155.47
20240107101013,36.92,157.52
20240107102013,38.09,159.57
20240107103013,39.17,161.63
20240107104013,40.15,163.68
20240107105013,41.04,165.73
20240107110013,41.82,167.79
20240107111013,42.48,169.84
20240107112013,43.03,171.89
20240107113013,43.46,173.94
20240107114013,43.77,176.0
20240107115013,43.95,178.05
20240107120013,44.0,180.1
20240107121013,43.92,182.16
20240107122013,43.72,184.21
20240107123013,43.39,186.26
20240107124013,42.93,188.31
20240107125013,42.36,190.37
20240107130013,41.67,192.42
20240107131013,40.87,194.47
20240107132013,39.96,196.53
20240107133013,38.96,198.58
20240107134013,37.86,200.63
20240107135013,36.67,202.68
20240107140013,35.4,204.74
20240107141013,34.06,206.79
20240107142013,32.64,208.84
20240107143013,31.15,210.9
20240107144013,29.61,212.95
20240107145013,28.01,215.0
20240107150013,26.36,217.05
20240107151013,24.65,219.11
20240107152013,22.91,221.16
20240107153013,21.12,223.21
20240107154013,19.29,225.27
20240107155013,17.43,227.32
20240107160013,15.54,229.37
20240107161013,13.62,231.42
20240107162013,11.67,233.48
20240107163013,9.69,235.53
20240107164013,7.69,237.58
20240107165013,5.67,239.64
20240107170013,3.63,241.69
20240107171013,1.56,243.74
20240107172013,-0.51,245.79
20240108064013,-0.31,114.41
20240108065013,1.77,116.46
20240108070013,3.83,118.51
20240108071013,5.87,120.56
20240108072013,7.89,122.61
20240108073013,9.89,124.66
20240108074013,11.86,126.71
20240108075013,13.81,128.76
20240108080013,15.73,130.81
20240108081013,17.62,132.86
20240108082013,19.48,134.91
20240108083013,21.3,136.96
20240108084013,23.08,139.01
20240108085013,24.83,141.06
20240108090013,26.52,143.11
20240108091013,28.17,145.16
20240108092013,29.77,147.2
20240108093013,31.31,149.25
20240108094013,32.78,151.3
20240108095013,34.19,153.35
20240108100013,35.53,155.4
20240108101013,36.79,157.45
20240108102013,37.97,159.5
20240108103013,39.06,161.55
20240108104013,40.06,163.6
20240108105013,40.95,165.65
20240108110013,41.74,167.7
20240108111013,42.42,169.75
20240108112013,42.98,171.8
20240108113013,43.43,173.85
20240108114013,43.74,175.9
20240108115013,43.94,177.95
20240108120013,44.0,180.0
20240108121013,43.94,182.05
20240108122013,43.74,184.1
20240108123013,43.43,186.15
20240108124013,42.98,188.2
20240108125013,42.42,190.25
20240108130013,41.74,192.3
20240108131013,40.95,194.35
20240108132013,40.06,196.4
20240108133013,39.06,198.45
20240108134013,37.97,200.5
20240108135013,36.79,202.55
20240108140013,35.53,204.6
20240108141013,34.19,206.65
20240108142013,32.78,208.7
20240108143013,31.31,210.75
20240108144013,29.77,212.8
20240108145013,28.17,214.84
20240108150013,26.52,216.89
20240108151013,24.83,218.94
20240108152013,23.08,220.99
20240108153013,21.3,223.04
20240108154013,19.48,225.09
20240108155013,17.62,227.14
20240108160013,15.73,229.19
20240108161013,13.81,231.24
20240108162013,11.86,233.29
20240108163013,9.89,235.34
20240108164013,7.89,237.39
20240108165013,5.87,239.44
20240108170013,3.83,241.49
20240108171013,1.77,243.54
20240108172013,-0.31,245.59
20240109064013,-0.31,114.41
20240109065013,1.77,116.46
20240109070013,3.83,118.5
20240109071013,5.87,120.55
20240109072013,7.89,122.6
20240109073013,9.89,124.64
20240109074013,11.86,126.69
20240109075013,13.81,128.73
20240109080013,15.73,130.78
20240109081013,17.62,132.83
20240109082013,19.48,134.87
20240109083013,21.3,136.92
20240109084013,23.08,138.97
20240109085013,24.83,141.01
20240109090013,26.52,143.06
20240109091013,28.17,145.11
20240109092013,29.77,147.15
20240109093013,31.31,149.2
20240109094013,32.78,151.25
20240109095013,34.19,153.29
20240109100013,35.53,155.34
20240109101013,36.79,157.39
20240109102013,37.97,159.43
20240109103013,39.06,161.48
20240109104013,40.06,163.53
20240109105013,40.95,165.57
20240109110013,41.74,167.62
20240109111013,42.42,169.67
20240109112013,42.98,171.71
20240109113013,43.43,173.76
20240109114013,43.74,175.8
20240109115013,43.94,177.85
20240109120013,44.0,179.9
20240109121013,43.94,181.94
20240109122013,43.74,183.99
20240109123013,43.43,186.04
20240109124013,42.98,188.08
20240109125013,42.42,190.13
20240109130013,41.74,192.18
20240109131013,40.95,194.22
20240109132013,40.06,196.27
20240109133013,39.06,198.32
20240109134013,37.97,200.36
20240109135013,36.79,202.41
20240109140013,35.53,204.46
20240109141013,34.19,206.5
20240109142013,32.78,208.55
20240109143013,31.31,210.6
20240109144013,29.77,212.64
20240109145013,28.17,214.69
20240109150013,26.52,216.73
20240109151013,24.83,218.78
20240109152013,23.08,220.83
20240109153013,21.3,222.87
20240109154013,19.48,224.92
20240109155013,17.62,226.97
20240109160013,15.73,229.01
20240109161013,13.81,231.06
20240109162013,11.86,233.11
20240109163013,9.89,235.15
20240109164013,7.89,237.2
20240109165013,5.87,239.25
20240109170013,3.83,241.29
20240109171013,1.77,243.34
20240109172013,-0.31,245.39
20240110064013,-0.51,114.41
20240110065013,1.56,116.46
20240110070013,3.63,118.5
20240110071013,5.67,120.55
20240110072013,7.69,122.6
20240110073013,9.69,124.64
20240110074013,11.67,126.69
20240110075013,13.62,128.73
20240110080013,15.54,130.78
20240110081013,17.43,132.83
20240110082013,19.29,134.87
20240110083013,21.12,136.92
20240110084013,22.91,138.97
20240110085013,24.65,141.01
20240110090013,26.36,143.06
20240110091013,28.01,145.11
20240110092013,29.61,147.15
20240110093013,31.15,149.2
20240110094013,32.64,151.25
20240110095013,34.06,153.29
20240110100013,35.4,155.34
20240110101013,36.67,157.39
20240110102013,37.86,159.43
20240110103013,38.96,161.48
20240110104013,39.96,163.53
20240110105013,40.87,165.57
20240110110013,41.67,167.62
20240110111013,42.36,169.67
20240110112013,42.93,171.71
20240110113013,43.39,173.76
20240110114013,43.72,175.8
20240110115013,43.92,177.85
20240110120013,44.0,179.9
20240110121013,43.95,181.94
20240110122013,43.77,183.99
20240110123013,43.46,186.04
20240110124013,43.03,188.08
20240110125013,42.48,190.13
20240110130013,41.82,192.18
20240110131013,41.04,194.22
20240110132013,40.15,196.27
20240110133013,39.17,198.32
20240110134013,38.09,200.36
20240110135013,36.92,202.41
20240110140013,35.66,204.46
20240110141013,34.33,206.5
20240110142013,32.93,208.55
20240110143013,31.46,210.6
20240110144013,29.92,212.64
20240110145013,28.33,214.69
20240110150013,26.69,216.73
20240110151013,25.0,218.78
20240110152013,23.26,220.83
20240110153013,21.48,222.87
20240110154013,19.66,224.92
20240110155013,17.81,226.97
20240110160013,15.92,229.01
20240110161013,14.0,231.06
20240110162013,12.06,233.11
20240110163013,10.09,235.15
20240110164013,8.09,237.2
20240110165013,6.07,239.25
20240110170013,4.04,241.29
20240110171013,1.98,243.34
20240110172013,-0.1,245.39
20240111064013,-0.51,114.41
20240111065013,1.56,116.45
20240111070013,3.63,118.5
20240111071013,5.67,120.54
20240111072013,7.69,122.58
20240111073013,9.69,124.63
20240111074013,11.67,126.67
20240111075013,13.62,128.71
20240111080013,15.54,130.76
20240111081013,17.43,132.8
20240111082013,19.29,134.84
20240111083013,21.12,136.89
20240111084013,22.91,138.93
20240111085013,24.65,140.97
20240111090013,26.36,143.02
20240111091013,28.01,145.06
20240111092013,29.61,147.1
20240111093013,31.15,149.15
20240111094013,32.64,151.19
20240111095013,34.06,153.23
20240111100013,35.4,155.28
20240111101013,36.67,157.32
20240111102013,37.86,159.36
20240111103013,38.96,161.41
20240111104013,39.96,163.45
20240111105013,40.87,165.49
20240111110013,41.67,167.54
20240111111013,42.36,169.58
20240111112013,42.93,171.62
20240111113013,43.39,173.67
20240111114013,43.72,175.71
20240111115013,43.92,177.75
20240111120013,44.0,179.8
20240111121013,43.95,181.84
20240111122013,43.77,183.88
20240111123013,43.46,185.93
20240111124013,43.03,187.97
20240111125013,42.48,190.01
20240111130013,41.82,192.06
20240111131013,41.04,194.1
20240111132013,40.15,196.14
20240111133013,39.17,198.19
20240111134013,38.09,200.23
20240111135013,36.92,202.27
20240111140013,35.66,204.32
20240111141013,34.33,206.36
20240111142013,32.93,208.4
20240111143013,31.46,210.45
20240111144013,29.92,212.49
20240111145013,28.33,214.53
20240111150013,26.69,216.58
20240111151013,25.0,218.62
20240111152013,23.26,220.66
20240111153013,21.48,222.71
20240111154013,19.66,224.75
20240111155013,17.81,226.79
20240111160013,15.92,228.84
20240111161013,14.0,230.88
20240111162013,12.06,232.92
20240111163013,10.09,234.97
20240111164013,8.09,237.01
20240111165013,6.07,239.05
20240111170013,4.04,241.1
20240111171013,1.98,243.14
20240111172013,-0.1,245.18
20240112064013,-0.72,114.41
20240112065013,1.36,116.47
20240112070013,3.42,118.52
20240112071013,5.47,120.58
20240112072013,7.49,122.63
20240112073013,9.49,124.69
20240112074013,11.47,126.74
20240112075013,13.42,128.8
20240112080013,15.35,130.86
20240112081013,17.25,132.91
20240112082013,19.11,134.97
20240112083013,20.94,137.02
20240112084013,22.73,139.08
20240112085013,24.48,141.13
20240112090013,26.19,143.19
20240112091013,27.85,145.25
20240112092013,29.45,147.3
20240112093013,31.0,149.36
20240112094013,32.49,151.41
20240112095013,33.92,153.47
20240112100013,35.27,155.52
20240112101013,36.55,157.58
20240112102013,37.74,159.64
20240112103013,38.85,161.69
20240112104013,39.87,163.75
20240112105013,40.78,165.8
20240112110013,41.59,167.86
20240112111013,42.29,169.91
20240112112013,42.88,171.97
20240112113013,43.35,174.02
20240112114013,43.69,176.08
20240112115013,43.91,178.14
20240112120013,44.0,180.19
20240112121013,43.96,182.25
20240112122013,43.79,184.3
20240112123013,43.5,186.36
20240112124013,43.08,188.41
20240112125013,42.54,190.47
20240112130013,41.89,192.53
20240112131013,41.12,194.58
20240112132013,40.25,196.64
20240112133013,39.27,198.69
20240112134013,38.2,200.75
20240112135013,37.04,202.8
20240112140013,35.79,204.86
20240112141013,34.47,206.91
20240112142013,33.07,208.97
20240112143013,31.61,211.03
20240112144013,30.08,213.08
20240112145013,28.49,215.14
20240112150013,26.86,217.19
20240112151013,25.17,219.25
20240112152013,23.44,221.3
20240112153013,21.66,223.36
20240112154013,19.85,225.42
20240112155013,17.99,227.47
20240112160013,16.11,229.53
20240112161013,14.2,231.58
20240112162013,12.25,233.64
20240112163013,10.29,235.69
20240112164013,8.29,237.75
20240112165013,6.28,239.81
20240112170013,4.24,241.86
20240112171013,2.19,243.92
20240112172013,0.11,245.97
20240113064013,-0.72,113.41
20240113065013,1.36,115.48
20240113070013,3.42,117.55
20240113071013,5.47,119.62
20240113072013,7.49,121.69
20240113073013,9.49,123.75
20240113074013,11.47,125.82
20240113075013,13.42,127.89
20240113080013,15.35,129.96
20240113081013,17.25,132.02
20240113082013,19.11,134.09
20240113083013,20.94,136.16
20240113084013,22.73,138.23
20240113085013,24.48,140.3
20240113090013,26.19,142.36
20240113091013,27.85,144.43
20240113092013,29.45,146.5
20240113093013,31.0,148.57
20240113094013,32.49,150.64
20240113095013,33.92,152.7
20240113100013,35.27,154.77
20240113101013,36.55,156.84
20240113102013,37.74,158.91
20240113103013,38.85,160.98
20240113104013,39.87,163.04
20240113105013,40.78,165.11
20240113110013,41.59,167.18
20240113111013,42.29,169.25
20240113112013,42.88,171.31
20240113113013,43.35,173.38
20240113114013,43.69,175.45
20240113115013,43.91,177.52
20240113120013,44.0,179.59
20240113121013,43.96,181.65
20240113122013,43.79,183.72
20240113123013,43.5,185.79
20240113124013,43.08,187.86
20240113125013,42.54,189.93
20240113130013,41.89,191.99
20240113131013,41.12,194.06
20240113132013,40.25,196.13
20240113133013,39.27,198.2
20240113134013,38.2,200.27
20240113135013,37.04,202.33
20240113140013,35.79,204.4
20240113141013,34.47,206.47
20240113142013,33.07,208.54
20240113143013,31.61,210.6
20240113144013,30.08,212.67
20240113145013,28.49,214.74
20240113150013,26.86,216.81
20240113151013,25.17,218.88
20240113152013,23.44,220.94
20240113153013,21.66,223.01
20240113154013,19.85,225.08
20240113155013,17.99,227.15
20240113160013,16.11,229.22
20240113161013,14.2,231.28
20240113162013,12.25,233.35
20240113163013,10.29,235.42
20240113164013,8.29,237.49
20240113165013,6.28,239.56
20240113170013,4.24,241.62
20240113171013,2.19,243.69
20240113172013,0.11,245.76
20240114064013,-0.72,113.41
20240114065013,1.36,115.48
20240114070013,3.42,117.55
20240114071013,5.47,119.62
20240114072013,7.49,121.69
20240114073013,9.49,123.75
20240114074013,11.47,125.82
20240114075013,13.42,127.89
20240114080013,15.35,129.96
20240114081013,17.25,132.02
20240114082013,19.11,134.09
20240114083013,20.94,136.16
20240114084013,22.73,138.23
20240114085013,24.48,140.3
20240114090013,26.19,142.36
20240114091013,27.85,144.43
20240114092013,29.45,146.5
20240114093013,31.0,148.57
20240114094013,32.49,150.64
20240114095013,33.92,152.7
20240114100013,35.27,154.77
20240114101013,36.55,156.84
20240114102013,37.74,158.91
20240114103013,38.85,160.98
20240114104013,39.87,163.04
20240114105013,40.78,165.11
20240114110013,41.59,167.18
20240114111013,42.29,169.25
20240114112013,42.88,171.31
20240114113013,43.35,173.38
20240114114013,43.69,175.45
20240114115013,43.91,177.52
20240114120013,44.0,179.59
20240114121013,43.96,181.65
20240114122013,43.79,183.72
20240114123013,43.5,185.79
20240114124013,43.08,187.86
20240114125013,42.54,189.93
20240114130013,41.89,191.99
20240114131013,41.12,194.06
20240114132013,40.25,196.13
20240114133013,39.27,198.2
20240114134013,38.2,200.27
20240114135013,37.04,202.33
20240114140013,35.79,204.4
20240114141013,34.47,206.47
20240114142013,33.07,208.54
20240114143013,31.61,210.6
20240114144013,30.08,212.67
20240114145013,28.49,214.74
20240114150013,26.86,216.81
20240114151013,25.17,218.88
20240114152013,23.44,220.94
20240114153013,21.66,223.01
20240114154013,19.85,225.08
20240114155013,17.99,227.15
20240114160013,16.11,229.22
20240114161013,14.2,231.28
20240114162013,12.25,233.35
20240114163013,10.29,235.42
20240114164013,8.29,237.49
20240114165013,6.28,239.56
20240114170013,4.24,241.62
20240114171013,2.19,243.69
20240114172013,0.11,245.76
20240115064013,-0.5,113.41
20240115065013,1.6,115.48
20240115070013,3.68,117.54
20240115071013,5.74,119.61
20240115072013,7.78,121.67
20240115073013,9.8,123.74
20240115074013,11.8,125.8
20240115075013,13.77,127.87
20240115080013,15.72,129.93
20240115081013,17.64,132.0
20240115082013,19.52,134.06
20240115083013,21.38,136.12
20240115084013,23.19,138.19
20240115085013,24.97,140.25
20240115090013,26.7,142.32
20240115091013,28.39,144.38
20240115092013,30.02,146.45
20240115093013,31.6,148.51
20240115094013,33.12,150.58
20240115095013,34.57,152.64
20240115100013,35.96,154.71
20240115101013,37.27,156.77
20240115102013,38.49,158.84
20240115103013,39.63,160.9
20240115104013,40.68,162.97
20240115105013,41.62,165.03
20240115110013,42.46,167.1
20240115111013,43.19,169.16
20240115112013,43.8,171.22
20240115113013,44.29,173.29
20240115114013,44.65,175.35
20240115115013,44.89,177.42
20240115120013,44.99,179.48
20240115121013,44.97,181.55
20240115122013,44.81,183.61
20240115123013,44.52,185.68
20240115124013,44.11,187.74
20240115125013,43.57,189.81
20240115130013,42.91,191.87
20240115131013,42.14,193.94
20240115132013,41.26,196.0
20240115133013,40.27,198.07
20240115134013,39.19,200.13
20240115135013,38.01,202.2
20240115140013,36.75,204.26
20240115141013,35.41,206.33
20240115142013,34.0,208.39
20240115143013,32.52,210.45
20240115144013,30.98,212.52
20240115145013,29.37,214.58
20240115150013,27.72,216.65
20240115151013,26.01,218.71
20240115152013,24.26,220.78
20240115153013,22.47,222.84
20240115154013,20.64,224.91
20240115155013,18.77,226.97
20240115160013,16.87,229.04
20240115161013,14.94,231.1
20240115162013,12.99,233.17
20240115163013,11.0,235.23
20240115164013,8.99,237.3
20240115165013,6.97,239.36
20240115170013,4.91,241.43
20240115171013,2.85,243.49
20240115172013,0.76,245.55
20240116064013,-0.5,113.41
20240116065013,1.6,115.47
20240116070013,3.68,117.54
20240116071013,5.74,119.6
20240116072013,7.78,121.66
20240116073013,9.8,123.72
20240116074013,11.8,125.78
20240116075013,13.77,127.84
20240116080013,15.72,129.9
20240116081013,17.64,131.97
20240116082013,19.52,134.03
20240116083013,21.38,136.09
20240116084013,23.19,138.15
20240116085013,24.97,140.21
20240116090013,26.7,142.27
20240116091013,28.39,144.34
20240116092013,30.02,146.4
20240116093013,31.6,148.46
20240116094013,33.12,150.52
20240116095013,34.57,152.58
20240116100013,35.96,154.64
20240116101013,37.27,156.7
20240116102013,38.49,158.77
