Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux)
20240117152001,0.61,1015.91,15.77,97.26,896.06
20240117153001,0.4,1016.16,16.97,87.91,253.17
20240117154001,0.3,1016.08,17.5,88.12,2476.14
20240117155001,0.23,1015.76,18.08,89.4,4322.39
20240117160001,0.2,1015.57,18.57,87.96,5434.35
20240117161001,0.2,1015.49,19.15,85.06,6850.69
20240117162001,0.2,1015.09,20.0,82.28,7149.58
20240117163001,0.22,1014.63,21.33,78.47,9576.72
20240117164001,0.21,1014.43,21.58,78.15,9489.58
20240117165001,0.2,1014.33,23.35,74.0,17814.89
20240119090001,0.6,1013.78,25.51,66.4,30551.79
20240119091001,0.86,1015.31,16.86,86.6,1166.07
20240119092001,1.59,1014.34,18.93,78.87,3649.38
20240119093001,1.6,1015.49,18.89,75.29,11339.69
20240119094001,1.27,1015.42,19.8,75.17,13995.26
20240119095001,1.45,1014.81,20.69,72.15,14529.29
20240119100001,1.74,1014.45,22.64,62.79,20707.24
20240119101001,1.19,1014.95,22.79,60.02,20033.93
20240119102001,0.66,1014.37,27.66,48.14,34969.05
20240119103001,0.7,1014.63,26.59,49.02,30327.36
20240119104001,1.1,1014.84,24.37,56.57,25765.92
20240119105001,1.19,1015.0,25.12,54.19,32302.56
20240119110001,1.34,1014.44,26.13,50.1,34827.54
20240119111001,1.09,1014.46,16.91,84.04,-4712.54
20240119112001,1.59,1013.8,19.04,77.24,-1668.53
20240119113001,1.36,1015.73,17.69,78.3,3965.57
20240119114001,0.65,1015.67,18.87,80.18,6503.45
20240119115001,1.17,1014.93,18.92,78.91,5078.05
20240119120001,1.46,1014.75,18.72,78.24,4830.64
20240119121001,1.11,1014.96,18.94,77.05,4675.59
20240119122001,0.76,1015.06,19.96,73.64,6875.16
20240119123001,0.37,1015.67,20.52,69.6,8550.72
20240119124001,0.42,1015.61,20.83,69.13,9175.48
20240119125001,0.54,1015.46,20.92,68.47,9413.65
20240119130001,1.08,1015.03,21.16,66.63,11655.37
20240119131001,0.3,1017.03,17.24,75.6,1748.01
20240119132001,0.15,1016.97,18.49,71.05,2221.31
20240119133001,0.1,1016.92,19.04,70.49,4251.41
20240119134001,0.07,1016.51,19.87,70.36,6119.23
20240119135001,0.07,1016.11,20.73,68.85,8191.48
20240119140001,0.07,1015.74,22.04,64.95,11838.28
20240119141001,0.07,1015.09,22.9,62.41,10158.16
20240119142001,0.06,1014.75,24.23,59.74,14503.6
20240119143001,0.05,1014.37,24.58,58.73,12810.36
20240119144001,0.05,1014.22,25.58,56.82,16840.12
20240119145001,0.04,1013.87,26.38,54.98,17957.29
20240119150001,0.02,1013.48,26.97,53.81,18045.76
20240119151001,0.71,1013.54,24.48,89.13,30563.01
20240119152001,1.01,1016.16,14.89,86.23,-4828.06
20240119153001,0.92,1013.52,20.54,86.66,4562.39
20240119154001,1.43,1014.96,18.41,86.1,11291.16
20240119155001,1.29,1014.49,17.88,88.69,4069.23
20240119160001,1.29,1014.34,17.93,88.98,3197.4
20240119161001,1.08,1014.29,18.55,85.1,3099.54
20240119162001,1.17,1014.45,18.52,85.47,4689.54
20240119163001,0.85,1014.73,19.16,82.8,6168.71
20240119164001,0.95,1014.89,18.78,83.55,5901.98
20240119165001,1.14,1015.01,18.97,81.38,8042.85
20240224090001,0.19,1010.86,24.73,98.66,17729.19
20240224091001,0.13,1015.15,17.36,91.12,296.82
20240224092001,0.13,1014.59,19.36,88.8,1882.37
20240224093001,0.08,1014.9,19.23,88.63,3419.56
20240224094001,0.17,1014.87,19.23,88.89,3576.96
20240224095001,0.44,1014.39,19.65,88.13,4134.75
20240224100001,0.4,1014.6,20.27,83.78,6994.46
20240224101001,0.57,1014.4,20.15,83.2,5472.27
20240224102001,0.56,1014.18,21.07,80.97,8424.69
20240224103001,0.54,1013.93,22.09,76.43,10608.8
20240224104001,0.49,1013.89,23.62,69.98,16252.91
20240224105001,0.25,1013.74,25.5,63.73,21325.7
20240224110001,0.21,1013.79,24.91,64.57,18262.22
20240224111001,0.07,1014.64,18.72,88.42,-1764.78
20240224112001,0.04,1014.5,20.4,81.17,755.01
20240224113001,0.08,1014.82,19.93,81.26,873.59
20240224114001,0.05,1014.66,20.56,81.06,2861.99
20240224115001,0.05,1014.62,20.37,81.41,1974.66
20240224120001,0.07,1014.58,20.71,80.4,3751.82
20240224121001,0.06,1014.52,20.66,80.31,3340.41
20240224122001,0.07,1014.51,20.87,79.51,4105.72
20240224123001,0.07,1014.52,21.16,78.58,5466.9
20240224124001,0.06,1014.53,21.72,75.87,7348.58
20240224125001,0.07,1014.43,22.42,73.04,9153.39
20240224130001,0.05,1014.21,22.67,71.48,7778.54
20240224131001,0.04,1014.37,20.33,79.16,-1641.47
20240224132001,0.03,1014.28,21.23,76.96,973.45
20240224133001,0.05,1014.3,21.13,76.83,918.44
20240224134001,0.04,1014.32,21.33,76.95,2452.41
20240224135001,0.05,1014.18,21.42,76.73,2295.04
20240224140001,0.06,1014.2,21.69,75.75,3910.36
20240224141001,0.06,1014.13,21.81,75.02,3791.58
20240224142001,0.06,1014.19,21.93,74.82,4878.79
20240224143001,0.06,1014.17,22.31,73.33,6278.84
20240224144001,0.05,1014.21,22.77,71.04,8091.67
20240224145001,0.05,1014.25,23.4,68.63,11252.05
20240224150001,0.04,1014.12,23.14,68.66,8377.81
20240224151001,0.05,1014.7,18.66,92.33,-901.34
20240224152001,0.07,1014.61,19.55,88.5,1100.23
20240224153001,0.08,1014.73,19.24,88.92,1118.78
20240224154001,0.08,1014.55,19.78,87.69,2516.23
20240224155001,0.08,1014.49,19.87,87.13,2874.58
20240224160001,0.21,1014.36,20.01,87.4,4579.64
20240224161001,0.14,1014.34,20.44,84.87,5334.24
20240224162001,0.29,1014.22,20.65,83.8,5992.01
20240224163001,0.13,1014.3,21.54,79.35,8053.4
20240224164001,0.1,1014.06,22.74,74.83,10268.98
20240224165001,0.09,1013.78,24.48,66.78,13612.7
20240226090001,0.23,1015.43,18.54,98.64,14624.97
20240226091001,0.41,1017.0,14.29,98.84,1309.76
20240226092001,0.29,1016.83,15.83,95.36,3559.53
20240226093001,0.23,1017.17,15.41,95.33,3614.41
20240226094001,0.18,1017.07,15.63,95.64,3043.56
20240226095001,0.09,1016.75,16.22,95.11,3158.1
20240226100001,0.09,1016.87,16.46,93.34,4250.96
20240226101001,0.1,1016.94,16.43,93.2,4524.17
20240226102001,0.69,1016.84,16.32,91.07,6700.98
20240226103001,0.23,1016.9,16.96,90.26,8066.23
20240226104001,0.19,1016.75,18.15,85.15,10869.12
20240226105001,0.46,1016.88,18.4,80.84,13142.14
20240226110001,0.61,1016.79,18.27,79.21,12061.9
20240226111001,0.21,1016.93,16.88,80.96,326.46
20240226112001,0.1,1016.86,17.83,79.13,1932.43
20240226113001,0.1,1016.7,17.93,78.88,1019.44
20240226114001,0.06,1016.88,17.94,78.83,2007.49
20240226115001,0.04,1017.05,17.57,80.29,1931.97
20240226120001,0.06,1016.85,17.9,79.9,2494.06
20240226121001,0.06,1016.73,18.16,79.36,2877.69
20240226122001,0.06,1016.57,18.77,77.33,4486.09
20240226123001,0.06,1016.67,18.93,75.71,5647.08
20240226124001,0.07,1016.73,19.08,74.6,6430.91
20240226125001,0.07,1016.64,19.6,72.7,7601.61
20240226130001,0.06,1016.54,19.75,70.8,6345.67
20240226131001,0.11,1016.82,16.12,96.21,1603.87
20240226132001,0.11,1016.99,16.34,93.88,3186.2
20240226133001,0.09,1017.0,16.03,94.35,2412.35
20240226134001,0.11,1016.9,16.54,92.32,4006.62
20240226135001,0.09,1016.6,16.77,93.01,4064.34
20240226140001,0.07,1016.53,16.79,93.14,4142.0
20240226141001,0.29,1016.68,16.62,91.39,4867.31
20240226142001,0.69,1016.74,16.6,90.25,7465.46
20240226143001,0.4,1017.0,16.95,88.44,8896.71
20240226144001,0.2,1017.08,17.62,85.43,10187.63
20240226145001,0.29,1016.84,18.42,82.2,11837.33
20240226150001,0.42,1016.77,18.11,81.52,10214.98
20240226151001,0.51,1016.38,15.98,94.14,2315.62
20240226152001,0.38,1016.66,16.71,89.05,3824.74
20240226153001,0.44,1016.69,16.36,89.84,2925.65
20240226154001,0.67,1016.42,16.79,88.84,4600.98
20240226155001,0.2,1016.5,17.4,87.52,4676.62
20240226160001,0.16,1016.56,17.52,86.77,5015.55
20240226161001,0.49,1016.51,17.04,89.08,5911.22
20240226162001,0.77,1016.47,17.24,88.5,9377.75
20240226163001,0.76,1016.51,17.52,86.4,11131.91
20240226164001,0.84,1016.3,18.24,83.77,13646.46
20240226165001,0.49,1016.69,19.37,75.59,16016.26
20240327090001,0.06,1011.14,27.16,80.01,22678.15
20240327091001,0.36,1013.14,19.85,96.57,4266.71
20240327092001,0.72,1012.61,21.57,90.13,6454.07
20240327093001,0.85,1012.89,21.15,89.56,8141.69
20240327094001,1.06,1012.61,22.02,86.79,11814.03
20240327095001,1.3,1012.07,22.27,86.22,11304.31
20240327100001,0.86,1012.44,23.99,78.69,18009.44
20240327101001,0.79,1012.27,24.95,72.21,17838.88
20240327102001,0.88,1012.26,24.82,72.71,17565.75
20240327103001,0.79,1012.28,24.75,72.78,16474.8
20240327104001,0.54,1012.1,26.14,67.69,18471.67
20240327105001,0.65,1012.16,26.43,66.23,21376.03
20240327110001,0.61,1011.97,27.1,63.91,22881.45
20240327111001,0.71,1013.53,19.72,88.98,4022.7
20240327112001,1.25,1012.57,22.0,80.4,6991.64
20240327113001,0.98,1013.52,21.25,79.38,9152.57
20240327114001,1.07,1013.18,22.53,77.08,13394.66
20240327115001,1.11,1013.05,22.41,76.66,12286.47
20240327120001,1.17,1012.84,23.82,72.21,17920.97
20240327121001,1.0,1012.84,24.8,66.14,19377.88
20240327122001,1.03,1012.72,24.84,66.52,18596.16
20240327123001,0.86,1012.74,24.91,65.98,17128.77
20240327124001,0.65,1012.72,26.04,62.41,20012.37
20240327125001,0.8,1012.74,26.29,60.96,22549.42
20240327130001,0.64,1012.7,26.87,59.53,24754.84
20240327131001,0.64,1013.42,18.85,93.4,-976.56
20240327132001,1.06,1012.71,21.33,83.68,3280.25
20240327133001,1.49,1013.4,19.66,85.04,4599.41
20240327134001,1.38,1012.77,20.95,86.65,8278.02
20240327135001,1.62,1012.48,20.7,85.05,5772.62
20240327140001,1.29,1012.67,21.25,84.16,8034.92
20240327141001,1.07,1012.84,21.59,81.16,8319.67
20240327142001,1.21,1012.81,21.64,80.44,8733.87
20240327143001,0.44,1013.22,22.14,78.66,7565.7
20240327144001,0.78,1013.15,22.41,76.64,9346.54
20240327145001,0.57,1013.44,22.55,75.02,10043.73
20240327150001,0.5,1013.21,23.37,72.63,10872.02
20240327151001,0.21,1014.01,21.78,71.42,2443.37
20240327152001,0.14,1013.95,22.59,70.03,4194.3
20240327153001,0.11,1013.9,22.54,70.5,3512.58
20240327154001,0.08,1013.91,23.0,69.99,6173.44
20240327155001,0.28,1013.71,22.88,70.18,6088.14
20240327160001,0.17,1013.83,23.57,67.9,9773.01
20240327161001,0.17,1013.63,23.97,66.13,9302.43
20240327162001,0.19,1013.52,24.07,65.72,9017.52
20240327163001,0.15,1013.4,24.21,65.44,8221.98
20240327164001,0.09,1013.4,24.66,63.74,9492.54
20240327165001,0.09,1013.55,24.66,63.26,10494.76
20240329090001,0.06,1008.3,27.79,95.3,11890.99
20240329091001,0.92,1010.17,23.29,96.78,7428.75
20240329092001,0.66,1010.1,24.45,91.63,7114.5
20240329093001,0.4,1010.29,25.44,86.41,9899.52
20240329094001,0.3,1010.29,25.89,83.04,9073.75
20240329095001,0.38,1010.04,26.49,81.46,10213.81
20240329100001,0.16,1010.07,27.58,76.82,12953.1
20240329101001,0.68,1009.81,26.58,78.46,9583.88
20240329102001,0.44,1009.81,26.67,79.25,8738.22
20240329103001,0.29,1009.87,28.14,73.39,13841.85
20240329104001,0.14,1009.68,27.6,74.3,6760.39
20240329105001,0.11,1009.71,27.77,74.4,7897.56
20240329110001,0.08,1009.94,28.1,74.56,12647.29
20240329111001,0.74,1011.26,23.58,85.45,7523.92
20240329112001,1.22,1010.71,24.09,81.35,7134.55
20240329113001,1.21,1010.68,24.8,78.06,10209.61
20240329114001,0.85,1010.8,25.45,74.53,10143.08
20240329115001,0.94,1010.46,26.01,73.5,11078.69
20240329120001,0.82,1010.29,26.98,70.64,13700.12
20240329121001,0.89,1010.06,26.59,71.22,10134.32
20240329122001,0.61,1010.23,26.59,71.79,9242.33
20240329123001,0.36,1010.46,28.17,66.26,15393.34
20240329124001,0.3,1010.45,26.66,70.87,7103.63
20240329125001,0.21,1010.25,27.56,68.94,8173.92
20240329130001,0.23,1010.71,27.63,68.09,13002.45
20240329131001,0.99,1010.84,22.06,94.51,561.8
20240329132001,1.37,1010.54,22.69,91.09,3088.97
20240329133001,1.01,1010.9,23.1,88.43,5373.87
20240329134001,0.43,1011.36,23.95,84.34,7022.49
20240329135001,0.62,1010.68,24.11,84.7,4524.51
20240329140001,0.21,1010.91,24.59,83.61,5829.46
20240329141001,0.22,1010.68,24.87,81.89,4903.3
20240329142001,0.14,1010.71,25.04,81.65,4964.05
20240329143001,0.15,1010.87,25.08,81.47,6126.75
20240329144001,0.11,1010.98,24.76,80.4,3536.49
20240329145001,0.08,1011.02,24.89,80.46,3257.68
20240329150001,0.07,1011.0,25.58,78.97,6045.01
20240329151001,0.23,1011.64,24.35,76.97,4080.17
20240329152001,0.08,1011.67,24.8,75.63,4319.77
20240329153001,0.06,1011.65,24.96,74.93,4593.33
20240329154001,0.05,1011.59,25.14,73.6,4068.05
20240329155001,0.04,1011.6,25.48,72.41,5622.18
20240329160001,0.04,1011.53,25.84,71.27,6726.62
20240329161001,0.04,1011.35,25.82,71.14,4987.55
20240329162001,0.04,1011.34,25.62,71.67,3757.36
20240329163001,0.04,1011.38,26.49,69.11,8359.38
20240329164001,0.05,1011.15,25.62,71.46,2167.27
20240329165001,0.04,1011.15,25.94,71.29,3773.22
20240428090001,0.06,1007.9,30.8,96.52,33709.1
20240428091001,2.22,1008.03,22.05,102.36,-1055.35
20240428092001,2.04,1007.97,24.51,99.53,8143.54
20240428093001,2.03,1007.98,25.09,96.78,11652.52
20240428094001,1.86,1007.92,24.71,101.79,10773.87
20240428095001,2.34,1006.54,26.1,99.57,9948.9
20240428100001,2.07,1007.42,26.24,97.34,17299.42
20240428101001,1.5,1006.32,28.21,97.81,15335.07
20240428102001,1.55,1006.37,28.87,97.9,21191.3
20240428103001,1.88,1005.76,28.35,98.66,15609.92
20240428104001,1.59,1006.04,29.23,97.57,22301.07
20240428105001,2.53,1006.1,28.58,96.55,26204.57
20240428110001,2.15,1005.74,30.47,90.41,30029.23
20240428111001,0.58,1009.61,22.5,102.67,7077.27
20240428112001,0.36,1009.29,25.29,97.53,7505.78
20240428113001,0.25,1009.76,25.2,99.27,13707.06
20240428114001,0.06,1009.24,25.8,99.5,11398.13
20240428115001,0.11,1008.86,25.95,103.04,11273.62
20240428120001,0.13,1009.71,25.95,96.22,16420.44
20240428121001,0.16,1008.5,27.48,96.83,14701.51
20240428122001,0.17,1008.11,29.24,94.3,23168.89
20240428123001,0.21,1008.03,28.4,94.7,18385.95
20240428124001,0.15,1008.11,29.62,89.56,22007.69
20240428125001,0.08,1008.69,30.08,86.8,28262.59
20240428130001,0.06,1008.87,31.52,80.53,36113.56
20240428131001,2.59,1008.16,21.82,99.35,-2240.92
20240428132001,2.38,1008.54,24.37,91.9,10618.34
20240428133001,2.5,1008.52,25.04,88.48,13911.74
20240428134001,2.44,1008.43,24.26,94.03,12091.53
20240428135001,2.81,1007.38,26.15,86.83,12504.58
20240428140001,2.57,1008.75,26.27,83.01,22503.1
20240428141001,1.4,1008.88,27.91,76.42,20932.06
20240428142001,1.78,1009.09,28.75,72.84,29899.48
20240428143001,2.01,1007.95,27.88,74.91,16176.24
20240428144001,2.08,1008.02,30.37,68.67,30232.83
20240428145001,2.95,1008.4,29.99,65.8,36865.87
20240428150001,2.1,1008.7,31.52,61.37,43662.14
20240428151001,2.84,1006.69,21.78,97.01,-8103.96
20240428152001,2.5,1006.85,26.69,84.49,8528.01
20240428153001,2.54,1009.7,26.77,72.88,27132.31
20240428154001,1.94,1008.83,25.87,88.96,16970.12
20240428155001,2.12,1007.33,27.68,78.71,8858.65
20240428160001,2.05,1009.52,26.35,77.98,22222.0
20240428161001,1.32,1009.23,28.0,71.73,19745.09
20240428162001,1.95,1008.86,28.13,71.35,21979.24
20240428163001,2.28,1008.18,28.54,70.48,21252.0
20240428164001,1.72,1008.78,30.45,64.7,31947.12
20240428165001,2.72,1008.83,29.4,64.53,32630.16
20240430090001,0.04,1006.26,43.02,40.25,64452.76
20240430091001,0.92,1006.33,31.32,72.54,15210.73
20240430092001,1.39,1005.01,35.42,60.37,21585.72
20240430093001,1.32,1005.4,36.55,54.56,26838.3
20240430094001,1.23,1004.86,36.5,54.36,23540.89
20240430095001,1.21,1004.3,39.58,45.91,32279.75
20240430100001,1.77,1004.71,38.82,46.97,40039.64
20240430101001,2.15,1005.05,37.48,48.87,42317.3
20240430102001,2.29,1004.78,37.39,48.53,38815.06
20240430103001,1.76,1004.02,41.19,38.57,41876.05
20240430104001,1.85,1004.27,41.37,37.69,50162.88
20240430105001,1.85,1004.12,41.63,36.19,50399.14
20240430110001,1.77,1004.17,42.55,35.04,55476.5
20240430111001,0.3,1006.75,32.17,66.95,21000.54
20240430112001,0.19,1006.32,34.96,61.43,24563.91
20240430113001,0.24,1006.79,36.09,55.36,29850.02
20240430114001,0.13,1007.32,36.5,53.91,36157.68
20240430115001,0.13,1007.33,38.61,46.45,47296.74
20240430120001,0.12,1007.14,39.43,43.79,50059.64
20240430121001,0.1,1007.58,39.5,42.99,55402.93
20240430122001,0.1,1007.61,39.96,42.33,56171.4
20240430123001,0.07,1007.56,41.04,39.53,60826.52
20240430124001,0.05,1008.06,40.67,39.73,64438.76
20240430125001,0.03,1007.88,41.84,36.3,66721.56
20240430130001,0.05,1007.74,42.81,35.12,72406.12
20240430131001,1.09,1009.12,30.17,56.63,23984.73
20240430132001,1.72,1007.32,34.14,47.14,26963.92
20240430133001,1.94,1008.67,34.89,43.63,45831.7
20240430134001,1.81,1007.66,34.64,45.07,35123.95
20240430135001,1.87,1007.39,36.66,40.49,42293.67
20240430140001,2.15,1007.58,37.69,38.25,53394.46
20240430141001,2.29,1007.56,38.31,36.38,63195.14
20240430142001,2.53,1006.53,38.08,37.13,54674.73
20240430143001,1.96,1006.88,40.31,32.05,62544.3
20240430144001,2.05,1006.47,40.76,31.75,63777.28
20240430145001,2.01,1006.36,41.43,29.21,66851.21
20240430150001,2.3,1006.09,42.35,28.9,74389.69
20240430151001,1.09,1006.98,30.69,51.0,10116.5
20240430152001,1.32,1006.04,35.15,40.94,10856.98
20240430153001,1.86,1006.88,35.02,34.82,21788.53
20240430154001,1.18,1004.81,37.1,39.77,12235.9
20240430155001,1.49,1004.57,37.27,40.54,13678.41
20240430160001,1.73,1003.49,38.14,37.89,14873.26
20240430161001,2.32,1003.53,37.53,35.62,23512.41
20240430162001,2.41,1003.42,36.79,35.98,13303.4
20240430163001,2.18,1001.79,41.18,27.65,13605.35
20240430164001,2.09,1002.28,41.2,28.08,20137.5
20240430165001,1.93,1002.16,41.56,29.54,21682.43
20240515090001,0.01,1004.91,46.74,30.64,70014.85
20240515091001,0.01,1007.28,35.1,59.15,30991.28
20240515092001,0.01,1006.03,35.68,59.34,20080.1
20240515093001,0.4,1006.52,36.35,58.4,30644.26
20240515094001,1.07,1006.26,36.32,56.07,33736.86
20240515095001,0.82,1005.64,39.86,43.69,43152.63
20240515100001,0.51,1005.86,38.59,46.81,38087.26
20240515101001,0.41,1005.42,40.16,41.14,39832.64
20240515102001,0.53,1004.59,42.56,36.37,43757.96
20240515103001,0.35,1004.07,44.88,30.09,49940.32
20240515104001,0.26,1003.68,45.68,28.25,51034.22
20240515105001,0.41,1003.78,46.18,27.07,57730.02
20240515110001,0.46,1004.03,45.77,27.15,58489.05
20240515111001,0.96,1008.53,34.18,47.06,39310.9
20240515112001,1.11,1007.8,34.43,46.23,29950.08
20240515113001,1.42,1008.52,36.32,41.58,48829.16
20240515114001,1.77,1008.46,35.9,42.35,48599.64
20240515115001,1.76,1007.84,39.23,34.37,61004.51
20240515120001,1.4,1007.21,38.77,34.79,50181.85
20240515121001,1.65,1007.83,39.56,33.64,66209.98
20240515122001,1.44,1007.69,40.49,30.12,66576.6
20240515123001,1.29,1007.71,41.8,28.06,73094.1
20240515124001,1.32,1007.04,41.96,26.47,66229.08
20240515125001,1.46,1006.85,43.38,24.41,74856.44
20240515130001,1.25,1007.31,44.0,23.14,83621.89
20240515131001,0.7,1008.24,33.31,40.99,20178.43
20240515132001,0.43,1006.38,36.25,37.16,8166.32
20240515133001,0.34,1005.51,41.65,32.65,40010.53
20240515134001,0.47,1004.13,39.53,35.2,9596.76
20240515135001,0.67,1003.31,40.72,30.48,11135.47
20240515140001,0.8,1003.28,40.31,32.16,18441.94
20240515141001,0.88,1002.15,41.22,25.95,15004.54
20240515142001,0.86,1002.17,42.39,23.63,15145.54
20240515143001,0.76,1000.65,45.14,22.23,13573.41
20240515144001,0.89,1000.9,44.46,24.61,16616.56
20240515145001,0.83,1000.32,46.25,22.62,17716.28
20240515150001,0.91,1002.05,46.15,22.86,39177.61
20240515151001,0.41,1004.69,39.05,35.07,23347.12
20240515152001,0.3,1005.52,37.59,38.09,16117.22
20240515153001,0.16,1006.37,40.11,32.13,35521.71
20240515154001,0.17,1007.65,40.48,30.82,50201.1
20240515155001,0.1,1007.09,42.83,26.35,55816.43
20240515160001,0.05,1006.86,41.6,27.43,47067.33
20240515161001,0.08,1006.98,42.63,25.72,56153.54
20240515162001,0.2,1007.3,43.31,23.63,62778.33
20240515163001,0.15,1007.47,44.35,22.49,70100.98
20240515164001,0.09,1007.59,45.47,20.62,78056.22
20240515165001,0.04,1007.39,46.21,19.94,80530.76
20240520090001,0.03,1005.46,40.95,49.06,45319.54
20240520091001,0.05,1010.46,27.13,71.65,17089.88
20240520092001,0.08,1009.0,30.8,62.44,14021.85
20240520093001,0.08,1009.89,31.43,58.46,24035.61
20240520094001,0.03,1009.86,30.33,60.1,17153.26
20240520095001,0.05,1009.61,32.2,56.91,24611.26
20240520100001,0.08,1009.51,33.85,50.97,32143.46
20240520101001,0.13,1009.34,34.27,48.58,33338.1
20240520102001,0.14,1008.72,34.69,46.99,28486.14
20240520103001,0.19,1008.77,36.94,40.93,42086.88
20240520104001,0.11,1008.29,37.8,38.34,40748.92
20240520105001,0.12,1007.35,40.57,33.2,47814.81
20240520110001,0.14,1006.91,41.68,30.9,51004.02
20240520111001,-0.02,1011.1,28.32,66.88,23970.54
20240520112001,0.01,1010.16,29.95,61.6,18995.51
20240520113001,0.1,1010.54,30.65,58.66,25152.74
20240520114001,0.09,1010.63,29.44,63.59,20072.8
20240520115001,0.06,1010.64,30.98,57.61,26968.8
20240520120001,0.05,1010.37,33.39,50.93,36939.74
20240520121001,0.05,1010.85,33.74,48.61,45010.8
20240520122001,0.07,1010.06,34.01,47.26,36548.84
20240520123001,0.07,1010.29,36.29,40.73,52394.8
20240520124001,0.06,1010.16,36.71,39.02,52274.92
20240520125001,0.05,1009.42,39.39,33.74,60602.7
20240520130001,0.03,1009.19,39.96,32.42,60478.5
20240520131001,0.06,1008.74,26.27,95.76,5101.11
20240520132001,-0.0,1009.93,25.5,92.64,6361.54
20240520133001,0.2,1008.69,26.98,97.78,7423.64
20240520134001,0.01,1008.58,27.3,98.05,11636.7
20240520135001,0.02,1007.13,28.16,97.67,6677.63
20240520140001,0.08,1007.7,28.26,95.8,11335.18
20240520141001,0.02,1008.63,26.88,97.03,10967.76
20240520142001,0.05,1008.12,27.13,100.24,10657.79
20240520143001,0.08,1007.87,27.22,99.99,9964.11
20240520144001,0.06,1008.15,27.09,97.75,9156.79
20240520145001,0.07,1008.04,28.08,94.8,11239.38
20240520150001,0.06,1007.83,28.8,91.86,12589.44
20240520151001,0.06,1009.24,27.03,85.05,9196.71
20240520152001,0.05,1008.97,27.39,85.82,7407.26
20240520153001,0.05,1008.9,28.04,83.78,9356.06
20240520154001,0.04,1008.85,27.97,83.5,8126.74
20240520155001,0.04,1008.94,28.41,81.73,10550.21
20240520160001,0.04,1008.99,28.92,79.73,13334.87
20240520161001,0.04,1009.03,29.01,78.52,13773.5
20240520162001,0.04,1009.0,29.65,76.39,16521.76
20240520163001,0.04,1009.0,30.6,72.18,20659.83
20240520164001,0.04,1008.9,30.78,71.06,20396.66
20240520165001,0.03,1008.83,31.08,69.56,20928.99
20240613090001,0.05,1005.03,31.9,98.1,15006.36
20240613091001,0.53,1006.67,28.29,92.24,7053.65
20240613092001,0.99,1006.15,29.2,91.13,8622.53
20240613093001,0.49,1006.4,29.4,90.84,8841.02
20240613094001,0.41,1006.33,29.31,91.58,7436.7
20240613095001,0.29,1006.31,29.99,91.06,9228.51
20240613100001,0.19,1006.53,30.26,88.96,10958.58
20240613101001,0.27,1006.47,30.64,86.46,11627.13
20240613102001,0.49,1006.38,30.88,84.06,12652.0
20240613103001,0.29,1006.48,31.4,82.04,14363.09
20240613104001,0.32,1006.46,32.07,78.25,16712.37
20240613105001,0.47,1006.29,32.14,77.95,17056.94
20240613110001,0.64,1006.09,32.0,78.25,16006.71
20240613111001,0.58,1007.5,28.71,76.4,5105.25
20240613112001,0.55,1007.45,29.8,74.88,7968.98
20240613113001,0.37,1007.65,29.52,75.58,7456.43
