日期,日出時刻,日出方位角,太陽過中天,中天仰角,日落時刻,日落方位角,裝置ID,緯度(N)
20240410,0537,81,1155,74,1813,279,15,24°0'33
20240411,0536,80,1155,75,1814,280,15,24°0'33
20240412,0535,80,1154,75,1814,280,15,24°0'33
20240413,0534,80,1154,75,1814,281,15,24°0'33
20240414,0533,79,1154,76,1815,281,15,24°0'33
20240415,0532,79,1154,76,1815,281,15,24°0'33
20240416,0531,78,1153,76,1816,282,15,24°0'33
20240417,0530,78,1153,77,1816,282,15,24°0'33
20240418,0530,78,1153,77,1816,283,15,24°0'33
20240419,0529,77,1153,77,1817,283,15,24°0'33
20240420,0528,77,1152,78,1817,283,15,24°0'33
20240421,0527,77,1152,78,1818,284,15,24°0'33
20240422,0526,76,1152,78,1818,284,15,24°0'33
20240423,0525,76,1152,79,1819,284,15,24°0'33
20240424,0525,75,1152,79,1819,285,15,24°0'33
20240425,0524,75,1151,79,1820,285,15,24°0'33
20240426,0523,75,1151,80,1820,285,15,24°0'33
20240427,0522,74,1151,80,1820,286,15,24°0'33
20240428,0521,74,1151,80,1821,286,15,24°0'33
20240429,0521,74,1151,81,1821,286,15,24°0'33
20240430,0520,73,1151,81,1822,287,15,24°0'33
20240501,0519,73,1151,81,1822,287,15,24°0'33
20240502,0519,73,1151,82,1823,287,15,24°0'33
20240503,0518,72,1150,82,1823,288,15,24°0'33
20240504,0517,72,1150,82,1824,288,15,24°0'33
20240505,0517,72,1150,82,1824,288,15,24°0'33
20240506,0516,71,1150,83,1825,289,15,24°0'33
20240507,0515,71,1150,83,1825,289,15,24°0'33
20240508,0515,71,1150,83,1826,289,15,24°0'33
20240509,0514,71,1150,84,1826,290,15,24°0'33
20240510,0514,70,1150,84,1827,290,15,24°0'33
20240511,0513,70,1150,84,1827,290,15,24°0'33
20240512,0512,70,1150,84,1828,291,15,24°0'33
20240513,0512,69,1150,85,1828,291,15,24°0'33
20240514,0511,69,1150,85,1829,291,15,24°0'33
20240515,0511,69,1150,85,1829,291,15,24°0'33
20240516,0511,69,1150,85,1830,292,15,24°0'33
20240517,0510,68,1150,85,1830,292,15,24°0'33
20240518,0510,68,1150,86,1831,292,15,24°0'33
20240519,0509,68,1150,86,1831,292,15,24°0'33
20240520,0509,68,1150,86,1832,293,15,24°0'33
20240521,0509,67,1150,86,1832,293,15,24°0'33
20240522,0508,67,1150,86,1833,293,15,24°0'33
20240523,0508,67,1150,87,1833,293,15,24°0'33
20240524,0508,67,1150,87,1833,293,15,24°0'33
20240525,0507,67,1151,87,1834,294,15,24°0'33
20240526,0507,66,1151,87,1834,294,15,24°0'33
20240527,0507,66,1151,87,1835,294,15,24°0'33
20240528,0507,66,1151,88,1835,294,15,24°0'33
20240529,0506,66,1151,88,1836,294,15,24°0'33
20240530,0506,66,1151,88,1836,294,15,24°0'33
20240531,0506,65,1151,88,1837,295,15,24°0'33
20240601,0506,65,1151,88,1837,295,15,24°0'33
20240602,0506,65,1152,88,1838,295,15,24°0'33
20240603,0506,65,1152,88,1838,295,15,24°0'33
20240604,0506,65,1152,89,1838,295,15,24°0'33
20240605,0505,65,1152,89,1839,295,15,24°0'33
20240606,0505,65,1152,89,1839,295,15,24°0'33
20240607,0505,65,1152,89,1840,296,15,24°0'33
20240608,0505,64,1153,89,1840,296,15,24°0'33
20240609,0505,64,1153,89,1840,296,15,24°0'33
20240610,0505,64,1153,89,1841,296,15,24°0'33
20240611,0505,64,1153,89,1841,296,15,24°0'33
20240612,0506,64,1153,89,1841,296,15,24°0'33
20240613,0506,64,1154,89,1842,296,15,24°0'33
20240614,0506,64,1154,89,1842,296,15,24°0'33
20240615,0506,64,1154,89,1842,296,15,24°0'33
20240616,0506,64,1154,89,1843,296,15,24°0'33
20240617,0506,64,1155,89,1843,296,15,24°0'33
20240618,0506,64,1155,89,1843,296,15,24°0'33
20240619,0506,64,1155,89,1844,296,15,24°0'33
20240620,0507,64,1155,89,1844,296,15,24°0'33
20240621,0507,64,1155,89,1844,296,15,24°0'33
20240622,0507,64,1156,89,1844,296,15,24°0'33
20240623,0507,64,1156,89,1844,296,15,24°0'33
20240624,0538,64,1156,89,1845,296,15,24°0'33
20240625,0508,64,1156,89,1845,296,15,24°0'33
20240626,0508,64,1156,89,1845,296,15,24°0'33
20240627,0508,64,1157,89,1845,296,15,24°0'33
20240628,0509,64,1157,89,1845,296,15,24°0'33
20240629,0509,64,1157,89,1845,296,15,24°0'33
20240630,0509,64,1157,89,1845,296,15,24°0'33
20240701,0510,64,1157,89,1845,296,15,24°0'33
20240702,0510,64,1158,89,1845,296,15,24°0'33
20240703,0510,64,1158,89,1845,296,15,24°0'33
20240704,0511,64,1158,89,1845,296,15,24°0'33
20240705,0511,65,1158,89,1845,295,15,24°0'33
20240706,0512,65,1158,89,1845,295,15,24°0'33
20240707,0512,65,1159,89,1845,295,15,24°0'33
20240708,0512,65,1159,88,1845,295,15,24°0'33
20240709,0513,65,1159,88,1845,295,15,24°0'33
20240710,0513,65,1159,88,1845,295,15,24°0'33
20240711,0514,65,1159,88,1845,295,15,24°0'33
20240712,0514,65,1159,88,1844,294,15,24°0'33
20240713,0514,66,1159,88,1844,294,15,24°0'33
20240714,0515,66,1159,88,1844,294,15,24°0'33
20240715,0515,66,1200,87,1844,294,15,24°0'33
20240716,0516,66,1200,87,1843,294,15,24°0'33
20240717,0516,66,1200,87,1843,294,15,24°0'33
20240718,0517,67,1200,87,1843,293,15,24°0'33
20240719,0517,67,1200,87,1843,293,15,24°0'33
20240720,0517,67,1200,87,1842,293,15,24°0'33
20240721,0518,67,1200,86,1842,293,15,24°0'33
20240722,0518,67,1200,86,1841,293,15,24°0'33
20240723,0519,68,1200,86,1841,292,15,24°0'33
20240724,0519,68,1200,86,1841,292,15,24°0'33
20240725,0520,68,1200,86,1840,292,15,24°0'33
20240726,0520,68,1200,85,1840,292,15,24°0'33
20240727,0521,69,1200,85,1839,291,15,24°0'33
20240728,0521,69,1200,85,1839,291,15,24°0'33
20240729,0522,69,1200,85,1838,291,15,24°0'33
20240730,0522,69,1200,84,1838,291,15,24°0'33
20240731,0522,70,1200,84,1837,290,15,24°0'33
20240801,0523,70,1200,84,1837,290,15,24°0'33
20240802,0523,70,1200,84,1836,290,15,24°0'33
20240803,0524,70,1200,83,1835,289,15,24°0'33
20240804,0524,71,1200,83,1835,289,15,24°0'33
20240805,0525,71,1200,83,1834,289,15,24°0'33
20240806,0525,71,1159,83,1833,288,15,24°0'33
20240807,0526,72,1159,82,1833,288,15,24°0'33
20240808,0526,72,1159,82,1832,288,15,24°0'33
20240809,0526,72,1159,82,1831,288,15,24°0'33
20240810,0527,73,1159,81,1831,287,15,24°0'33
20240811,0527,73,1159,81,1830,287,15,24°0'33
20240812,0528,73,1159,81,1829,287,15,24°0'33
20240813,0528,74,1158,81,1828,286,15,24°0'33
20240814,0528,74,1158,80,1828,286,15,24°0'33
20240815,0529,74,1158,80,1827,286,15,24°0'33
20240816,0529,75,1158,80,1826,285,15,24°0'33
20240817,0530,75,1158,79,1825,285,15,24°0'33
20240818,0530,75,1157,79,1824,284,15,24°0'33
20240819,0530,76,1157,79,1824,284,15,24°0'33
20240820,0531,76,1157,78,1823,284,15,24°0'33
20240821,0531,76,1157,78,1822,283,15,24°0'33
20240822,0532,77,1156,78,1821,283,15,24°0'33
20240823,0532,77,1156,77,1820,283,15,24°0'33
20240824,0532,78,1156,77,1819,282,15,24°0'33
20240825,0533,78,1156,77,1818,282,15,24°0'33
20240826,0533,78,1155,76,1817,282,15,24°0'33
20240827,0533,79,1155,76,1816,281,15,24°0'33
20240828,0534,79,1155,76,1815,281,15,24°0'33
20240829,0534,79,1154,75,1814,280,15,24°0'33
20240830,0535,80,1154,75,1813,280,15,24°0'33
20240831,0535,80,1154,75,1812,280,15,24°0'33
20240901,0535,81,1154,74,1811,279,15,24°0'33
20240902,0536,81,1153,74,1810,279,15,24°0'33
20240903,0536,81,1153,73,1809,278,15,24°0'33
20240904,0536,82,1153,73,1808,278,15,24°0'33
20240905,0537,82,1152,73,1807,278,15,24°0'33
20240906,0537,83,1152,72,1806,277,15,24°0'33
20240907,0537,83,1152,72,1805,277,15,24°0'33
20240908,0538,83,1151,72,1804,276,15,24°0'33
20240909,0538,84,1151,71,1803,276,15,24°0'33
20240910,0538,84,1150,71,1802,275,15,24°0'33
20240911,0539,85,1150,70,1801,275,15,24°0'33
20240912,0539,85,1150,70,1800,275,15,24°0'33
20240913,0539,86,1149,70,1729,274,15,24°0'33
20240914,0540,86,1149,69,1758,274,15,24°0'33
20240915,0540,86,1149,69,1757,273,15,24°0'33
20240916,0541,87,1148,69,1756,273,15,24°0'33
20240917,0541,87,1148,68,1755,273,15,24°0'33
20240918,0541,88,1148,68,1754,272,15,24°0'33
20240919,0541,88,1147,67,1753,272,15,24°0'33
20240920,0542,89,1147,67,1752,671,15,24°0'33
20240921,0542,89,1147,67,1751,271,15,24°0'33
20240922,0542,89,1146,66,1750,270,15,24°0'33
20240923,0543,90,1146,66,1749,270,15,24°0'33
20240924,0543,90,1145,65,1748,270,15,24°0'33
20240925,0543,91,1145,25,1747,269,15,24°0'33
20240926,0544,91,1145,65,1746,269,15,24°0'33
20240927,0544,91,1144,64,1745,268,15,24°0'33
20240928,0544,92,1144,64,1744,268,15,24°0'33
20240929,0545,92,1144,63,1743,267,15,24°0'33
20240930,0545,93,1143,63,1742,267,15,24°0'33
20241001,0545,93,1143,63,1741,267,15,24°0'33
20241002,0546,94,1143,62,1740,266,15,24°0'33
20241003,0546,94,1143,62,1739,266,15,24°0'33
20241004,0547,94,1142,62,1738,265,15,24°0'33
20241005,0547,95,1142,91,1737,265,15,24°0'33
20241006,0547,95,1142,61,1736,264,15,24°0'33
20241007,0548,96,1141,60,1735,264,15,24°0'33
20241008,0548,96,1141,60,1734,264,15,24°0'33
20241009,0549,97,1141,60,1733,263,15,24°0'33
20241010,0549,97,1141,59,1732,263,15,24°0'33
20241011,0549,97,1140,59,1731,262,15,24°0'33
20241012,0550,98,1140,58,1730,262,15,24°0'33
20241013,0550,98,1140,58,1729,262,15,24°0'33
20241014,0551,99,1140,58,1728,261,15,24°0'33
20241015,0551,99,1139,57,1727,261,15,24°0'33
20241016,0552,99,1139,57,1726,260,15,24°0'33
20241017,0552,100,1139,57,1725,260,15,24°0'33
20241018,0552,100,1139,56,1725,260,15,24°0'33
20241019,0553,101,1138,56,1724,259,15,24°0'33
20241020,0553,101,1138,56,1723,259,15,24°0'33
20241021,0554,101,1138,55,1722,258,15,24°0'33
20241022,0554,102,1138,55,1721,258,15,24°0'33
20241023,0555,102,1138,54,1721,258,15,24°0'33
20241024,0555,103,1138,54,1720,257,15,24°0'33
20241025,0556,103,1138,54,1719,257,15,24°0'33
20241026,0556,103,1137,53,1718,256,15,24°0'33
20241027,0557,104,1137,53,1718,256,15,24°0'33
20241028,0557,104,1137,53,1717,256,15,24°0'33
20241029,0558,104,1137,52,1716,255,15,24°0'33
20241030,0559,105,1137,52,1715,255,15,24°0'33
20241031,0559,105,1137,52,1715,255,15,24°0'33
20241101,0600,106,1137,51,1714,254,15,24°0'33
20241102,0600,106,1137,51,1714,254,15,24°0'33
20241103,0601,106,1137,51,1713,254,15,24°0'33
20241104,0602,107,1137,51,1712,253,15,24°0'33
20241105,0602,107,1137,50,1712,253,15,24°0'33
20241106,0603,107,1137,50,1711,253,15,24°0'33
20241107,0603,108,1137,50,1711,252,15,24°0'33
20241108,0604,108,1137,49,1710,252,15,24°0'33
20241109,0605,108,1137,49,1710,252,15,24°0'33
20241110,0605,108,1137,49,1709,251,15,24°0'33
20241111,0606,109,1138,49,1709,251,15,24°0'33
20241112,0607,109,1138,48,1709,251,15,24°0'33
20241113,0607,109,1138,48,1708,250,15,24°0'33
20241114,0608,110,1138,48,1708,250,15,24°0'33
20241115,0609,110,1138,47,1708,250,15,24°0'33
20241116,0609,110,1138,47,1707,250,15,24°0'33
20241117,0610,111,1139,47,1707,249,15,24°0'33
20241118,0611,111,1139,47,1707,249,15,24°0'33
20241119,0611,111,1139,46,1706,249,15,24°0'33
20241120,0612,111,1139,46,1706,249,15,24°0'33
20241121,0613,112,1139,46,1706,248,15,24°0'33
20241122,0613,112,1140,46,1706,248,15,24°0'33
20241123,0614,112,1140,46,1706,248,15,24°0'33
20241124,0615,112,1140,45,1706,248,15,24°0'33
20241125,0615,112,1141,45,1706,247,15,24°0'33
20241126,0616,113,1141,45,1705,247,15,24°0'33
20241127,0617,113,1141,45,1705,247,15,24°0'33
20241128,0617,113,1142,45,1705,247,15,24°0'33
20241129,0618,113,1142,44,1705,247,15,24°0'33
20241130,0619,113,1142,44,1705,246,15,24°0'33
