Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240104165001,3.49,1014.76,18.53,70.75,1164.25,0.4
20240105090001,0.34,1015.89,28.42,48.55,71229.92,1263.63
20240105091001,1.52,1015.82,29.75,44.39,75192.93,1347.49
20240105092001,1.24,1015.71,29.25,43.85,81154.42,1444.2
20240105093001,1.08,1015.52,29.06,43.9,88249.02,1526.65
20240105094001,1.2,1015.36,30.08,42.15,97011.84,1599.92
20240105095001,1.67,1015.3,31,39.16,100577.02,1646.26
20240105100001,0.38,1015.18,30.55,39.55,100477.11,1672.14
20240105101001,0,1015.04,30.49,39.31,98674.85,1705.18
20240105102001,0,1014.79,30.26,39.56,99851.26,1732.36
20240105103001,0,1014.64,31.24,37.73,100138.04,1747.59
20240105104001,0.5,1014.42,32.07,36.74,102384.85,1752.46
20240105105001,0,1014.24,33.26,34.66,103176.02,1746.96
20240105110001,0.96,1013.96,34.11,33.35,106514.25,1742.86
20240105111001,0.49,1013.74,35.1,32.21,108776.34,1732.93
20240105112001,1.8,1013.46,35.62,30.51,110148.07,1739.64
20240105113001,2.72,1013.22,36.41,29.93,110538.17,1725.62
20240105114001,3.01,1012.97,36.58,28.85,108456.31,1731.53
20240105115001,4.09,1012.83,36.54,29,107754.1,1732.81
20240105120001,3.78,1012.68,36.31,29.12,106218.3,1716.92
20240105121001,3.81,1012.53,37.26,28.61,105585.98,1691.31
20240105122001,3.72,1012.36,37.89,27.8,103157.15,1677.44
20240105123001,3.57,1012.15,38.21,27.7,102600.48,1684.26
20240105124001,1.73,1011.94,38.27,27.58,101987.92,1670.43
20240105125001,3.9,1011.8,38.62,26.84,100583.3,1675.88
20240105130001,3.72,1011.65,37.54,27.54,58472.74,884.26
20240105131001,3.67,1011.53,33.08,33.12,38778.4,364.53
20240105132001,3.49,1011.44,31.25,36.63,64432.1,1078.6
20240105133001,3.62,1011.33,32.67,35.03,65097.93,1026.66
20240105134001,3.52,1011.21,31.78,36.37,52010.73,747.61
20240105135001,3.65,1011.15,31.5,37.16,28348.77,172.17
20240105140001,3.65,1011.12,29.62,39.95,23627.17,121.87
20240105141001,2.35,1011.07,28.65,42.32,25174.08,138.99
20240105142001,2.84,1011.01,28.53,42.47,25200.58,141.15
20240105143001,2.43,1010.96,28.32,43.48,21067,100.29
20240105144001,2.68,1011,28.15,44.56,18991.66,82.31
20240105145001,1.67,1011.04,27.71,45.85,17186,67.9
20240105150001,1.57,1011.07,27.23,47.82,15412.92,54.64
20240105151001,1.43,1011.22,26.87,49.24,11038,28.67
20240105152001,0,1011.39,25.9,51.86,8493.5,17.28
20240105153001,0,1011.51,25.25,53.55,6963.75,11.94
20240105154001,0,1011.81,24.35,56.72,5100.92,6.41
20240105155001,4.43,1011.91,23.72,58.32,4969.83,6.1
20240105160001,4.41,1012.05,23.46,59.59,4456.42,4.92
20240105161001,3.16,1012.27,23.28,60.32,3994.75,3.99
20240105162001,3.27,1012.18,23.17,60.77,3640.75,3.34
20240105163001,3.39,1012.37,22.97,61.71,2927.17,2.19
20240105164001,3.51,1012.42,22.62,62.87,2631.42,1.75
20240105165001,3.33,1012.39,22.16,63.97,2174,1.23
20240107090001,0.05,1018.39,18.67,99.51,2712.33,1.79
20240107091001,0,1018.4,18.9,92.09,4026.92,3.77
20240107092001,0,1018.51,19.29,89.89,5641.58,7.31
20240107093001,0,1018.56,19.69,87.94,5526.83,7.07
20240107094001,0,1018.6,19.9,84.14,6299.92,8.94
20240107095001,0.1,1018.49,20.06,82.06,8346.92,15.38
20240107100001,0.18,1018.38,20.29,79.69,7498.75,12.51
20240107101001,0.44,1018.46,20.21,76.75,6205.83,8.45
20240107102001,0.85,1018.35,20.08,75.76,7205.5,11.19
20240107103001,0.91,1018.31,20.03,74.77,7574.83,12.49
20240107104001,0.23,1018.22,20.12,75.04,7743.08,13.09
20240107105001,0.5,1018.13,20.41,74.39,8602.75,16.65
20240107110001,1.23,1017.94,20.56,72.49,10769.08,25.04
20240107111001,0.72,1017.79,20.54,71.89,9593.58,20
20240107112001,0.71,1017.59,20.51,71.57,9759.42,20.87
20240107113001,1.12,1017.48,20.59,70.95,10495.75,23.68
20240107114001,1.7,1017.41,20.37,70.77,8796.33,16.88
20240107115001,1.21,1017.26,20.08,71.39,7970.92,14.07
20240107120001,1.01,1017.03,20.14,71.25,9658.17,20.41
20240107121001,1.04,1016.97,20.23,70.44,9293.08,19.07
20240107122001,0.58,1016.89,20.43,70.1,10860.5,26.23
20240107123001,0.78,1016.76,20.72,68.43,11282.92,29.09
20240107124001,1.23,1016.61,20.99,66.79,13908.5,43.5
20240107125001,0.86,1016.56,21.04,66.07,12849.25,37.2
20240107130001,1.34,1016.52,20.98,65.39,13507.92,41
20240107131001,1.2,1016.5,21.04,65.31,11850.75,31.9
20240107132001,1.1,1016.4,20.79,66.56,9357.33,19.62
20240107133001,1.25,1016.37,20.34,67.74,8240.92,15.2
20240107134001,1.4,1016.33,20,68.79,7226.17,11.48
20240107135001,1.38,1016.27,19.7,69.13,7205.08,11.47
20240107140001,0.7,1016.09,19.61,70.02,6707.92,10.06
20240107141001,1.19,1016.05,19.61,69.85,5860.5,7.76
20240107142001,0.94,1016.06,19.44,69.98,5799.83,7.43
20240107143001,0.52,1016.06,19.4,70.28,5534.75,6.92
20240107144001,0.5,1016.06,19.41,70.27,5425,6.67
20240107145001,0.33,1016.08,19.51,70.18,5990.25,8.24
20240107150001,0.26,1016.03,19.61,70.01,5843.58,7.98
20240107151001,0.04,1016.04,19.73,70.23,6353.75,9.39
20240107152001,0.16,1016.09,19.89,69.36,6014.25,8.61
20240107153001,0.01,1016.19,19.9,69.36,5248.08,6.66
20240107154001,0,1016.26,19.89,70.12,4231.5,4.44
20240107155001,0,1016.3,19.72,71.01,3553.75,3.17
20240107160001,0,1016.39,19.47,71.69,2692.31,1.9
20240107161001,0,1016.44,19.13,72.8,2267.5,1.43
20240107162001,0,1016.49,18.88,74,1823.33,0.97
20240107163001,0.02,1016.63,18.66,75.51,1025.5,0.36
20240107164001,0,1016.79,18.4,76.62,607.25,0.13
20240107165001,0.02,1016.78,18.19,78.42,526.17,0.11
20240108090001,0.71,1017.17,23.08,69.63,19577,88.46
20240108091001,0.67,1017.22,23.7,69.74,33520.8,411.72
20240108092001,0,1017.19,23.64,67.74,19073.42,83.83
20240108093001,0,1017.08,22.82,69.75,17094,70.15
20240108094001,0,1017.02,23.21,71.32,29696.04,222.37
20240108095001,0.12,1016.93,24.89,66.63,38818.6,320.88
20240108100001,0.43,1016.77,25.88,60.17,30946.08,203.78
20240108101001,0.47,1016.58,25.47,60.41,36273.44,292.34
20240108102001,0.05,1016.37,26.58,58.84,38380.1,433.4
20240108103001,0,1016.14,27.75,55.98,33560.2,258.12
20240108104001,0.01,1015.84,28.33,53.48,36061.18,304.53
20240108105001,0.04,1015.72,28.63,52.05,35238.07,274.01
20240108110001,0.03,1015.56,29.27,50.08,40334.16,353.57
20240108111001,0,1015.4,30.06,48.49,30286.08,203.9
20240108112001,0,1015.13,29.76,47.72,26709.17,161.65
20240108113001,0,1015.03,29.09,48.31,28449.33,185.11
20240108114001,0,1014.8,29.52,48.43,47502.68,507.1
20240108115001,0.04,1014.5,32.33,44.62,70161.68,1008.07
20240108120001,0.13,1014.23,33.66,39.89,45871.88,465.6
20240108121001,0.04,1014.05,32.81,41.05,49757.44,552.93
20240108122001,0.05,1013.95,32.03,41.21,39873.05,348.97
20240108123001,0.08,1013.76,30.52,44.78,38041.71,318.97
20240108124001,0.59,1013.56,29.62,47.22,52209.33,618.14
20240108125001,0.48,1013.37,30.16,47.06,76316.69,1200.94
20240108130001,0.46,1013.14,31.12,44.89,60848.83,846.87
20240108131001,0.13,1012.95,31.12,44.28,45125.52,461.86
20240108132001,0.61,1012.84,30.15,46.33,31049.17,215.46
20240108133001,0.25,1012.81,27.96,51.55,33691.42,243.79
20240108134001,0.47,1012.73,28.51,51.44,63051.87,979.18
20240108135001,0.43,1012.6,30.85,46.8,97091.62,1657.09
20240108140001,0.73,1012.39,32.44,42.88,54883.26,724.49
20240108141001,0.32,1012.4,30.29,46.75,39117.76,352.1
20240108142001,0.44,1012.33,28.92,50.05,32451.24,248.56
20240108143001,0.46,1012.23,27.35,54.02,27444.92,172.92
20240108144001,0.56,1012.26,26.89,56.2,37822.31,362.32
20240108145001,0.31,1012.24,27.95,53.74,32312.48,252.72
20240108150001,0.36,1012.17,28.82,52,47851.08,646.18
20240108151001,0.18,1012.21,29.06,50.67,36745.31,377.64
20240108152001,0.23,1012.17,29.31,49.65,27999.93,224.11
20240108153001,0.16,1012.18,28.21,50.86,22987.75,140.8
20240108154001,0.37,1012.15,27.12,53.87,16102.83,71.08
20240108155001,0.34,1012.21,25.61,58.43,15386.17,57.45
20240108160001,0.44,1012.22,24.61,61.86,12670.67,39.54
20240108161001,0.6,1012.34,23.72,64.81,9737.92,23.6
20240108162001,0.31,1012.46,23.15,66.78,7570.83,15.12
20240108163001,0.63,1012.58,22.71,68.46,5528.92,8.29
20240108164001,0.02,1012.51,22.3,70.07,4084.83,4.69
20240108165001,0,1012.57,22.06,70.92,2895.08,2.69
20240109090001,0.43,1011.63,29.48,54.51,78264.33,1387.73
20240109091001,0.6,1011.51,31.74,47.93,76440.5,1317.63
20240109092001,0.91,1011.42,30.65,47.67,77470.64,1352.22
20240109093001,0.82,1011.34,29.88,49.37,63069.38,871.18
20240109094001,0.47,1011.24,28.62,52.1,82244.04,1201.79
20240109095001,0.25,1011.1,30.49,49.53,105124.19,1624.08
20240109100001,0.28,1010.97,33.38,43.98,107403.16,1631.33
20240109101001,0.26,1010.87,35.25,39.68,106157.03,1643.97
20240109102001,0.25,1010.67,35.85,38.08,104532.66,1652.78
20240109103001,0.29,1010.46,36.26,37.32,104094.76,1663.6
20240109104001,0.43,1010.29,36.47,36,105819.58,1693.64
20240109105001,0.11,1010.08,37.13,35.43,106189.91,1678.13
20240109110001,0.4,1009.9,36.84,35.13,107952.11,1696.52
20240109111001,0.51,1009.78,35.95,36.39,107423.11,1707.39
20240109112001,0.97,1009.71,34.53,39,108954.23,1756.69
20240109113001,0.98,1009.66,33.42,42.15,111067.35,1787.12
20240109114001,0.77,1009.58,33.56,42.02,111804.25,1803.36
20240109115001,0.77,1009.41,34.34,41.16,92394.41,1420.59
20240109120001,1.12,1009.28,34.05,42.98,80627.58,1215.66
20240109121001,0.85,1009.15,32.59,45.57,47852.26,527.65
20240109122001,0.74,1008.99,31,49.21,40913.86,382.96
20240109123001,0.7,1008.8,30.51,50.89,50651.03,605.23
20240109124001,0.7,1008.59,31.21,49.83,58549.19,756.85
20240109125001,0.53,1008.41,30.93,50.08,36561.48,311.67
20240109130001,0.92,1008.3,29.76,52.44,36126.75,296.15
20240109131001,0.75,1008.24,29.04,54.59,34380,264.91
20240109132001,0.82,1008.17,28.6,56.49,32638.08,242.53
20240109133001,0.73,1008.07,28.56,57.19,29646.25,203.26
20240109134001,0.98,1008.02,27.78,59.48,26365.87,167.14
20240109135001,0.77,1007.95,26.93,61.95,23562.91,136.09
20240109140001,1.1,1007.82,27.02,62.12,27502.33,175.54
20240109141001,0.95,1007.8,26.45,64.73,18904.92,87.21
20240109142001,0.86,1007.72,26.1,65.99,20674.83,99.63
20240109143001,0.96,1007.74,25.83,66.3,16636.67,65.67
20240109144001,0.59,1007.66,25.06,68.47,12466.08,36.41
20240109145001,0.43,1007.62,24.57,70.23,10988.33,29.66
20240109150001,0.35,1007.57,24.31,71.53,10991.75,29.16
20240109151001,0.68,1007.6,24.19,72.12,7608.67,15.33
20240109152001,0.48,1007.64,23.68,73.32,6006.58,9.48
20240109153001,0.41,1007.75,23.41,74.8,5196,7.09
20240109154001,0.17,1007.77,23.09,75.52,4237.17,4.57
20240109155001,0.15,1007.79,22.99,75.73,3829.25,3.73
20240109160001,0.31,1007.78,22.91,76.12,3161.58,2.64
20240109161001,0.31,1007.89,22.71,76.98,1934.75,1.1
20240109162001,0.16,1007.99,22.42,78.31,921,0.28
20240109163001,1.1,1008.17,22.21,80.92,1112.5,0.39
20240109164001,1.3,1008.21,21.96,82.18,1264,0.51
20240109165001,0.3,1008.23,21.84,82.94,662.42,0.18
20240110090001,0.24,1011.92,20.04,100,15046.92,53.68
20240110091001,0.13,1012,20.32,100,10291.25,25.58
20240110092001,0,1012.08,20.53,100,10128.67,25.49
20240110093001,0,1012.24,20.97,100,14455.17,47
20240110094001,0.16,1012.24,21.75,100,16405.83,59.53
20240110095001,0.35,1012.07,21.85,94.56,14315.58,46.73
20240110100001,0.71,1011.96,21.85,88.51,16247.67,60.49
20240110101001,1.22,1011.91,21.5,82.59,11004.75,27.78
20240110102001,0.61,1011.83,21.13,82.65,9768.08,22.1
20240110103001,0.39,1011.91,20.88,83.35,5745.42,7.78
20240110104001,0.01,1012.01,20.58,86.48,4406.92,4.39
20240110105001,0.06,1012,20.35,88.37,3677.33,3.08
20240110110001,0.21,1011.92,20.17,87.44,4784.5,5.18
20240110111001,0.27,1011.81,20.16,85.77,5918.42,8.2
20240110112001,0.42,1011.66,20.38,84.51,6673.67,10.23
20240110113001,0.49,1011.63,20.56,84.27,7416.08,12.51
20240110114001,0.57,1011.54,20.73,83.39,7945.92,14.24
20240110115001,0.26,1011.44,20.79,83.22,8564.33,16.93
20240110120001,0.27,1011.33,21.18,81.37,11503.33,29.49
20240110121001,0.23,1011.1,21.55,79.97,11708.33,30.97
20240110122001,0.09,1010.98,21.98,78.55,11472.83,29.12
20240110123001,0.05,1010.88,22.2,77.8,9792.91,21.52
20240110124001,0.25,1010.78,21.96,76.08,7167.25,10.97
20240110125001,0.47,1010.66,21.24,77.13,6309.42,8.55
20240110130001,0.44,1010.62,20.65,79.85,5823,6.99
20240110131001,0.29,1010.73,20.13,86.14,6378.17,8.48
20240110132001,0.22,1010.77,18.99,97.72,4100.83,4.04
20240110133001,0.9,1010.8,17.82,100,3133.83,2.2
20240110134001,0.8,1010.84,17.02,100,3243.75,2.31
20240110135001,0.53,1010.84,16.69,100,3030.67,2.08
20240110140001,0.28,1010.89,16.48,100,3566.33,2.93
20240110141001,0.34,1010.87,16.36,100,3500.08,3
20240110142001,1.43,1010.84,16.33,100,4413.25,4.61
20240110143001,0.56,1010.88,16.4,100,3484.17,2.91
20240110144001,0.35,1010.91,16.38,100,3237.33,2.55
20240110145001,0.34,1010.98,16.59,100,3112.25,2.34
20240110150001,0.22,1011.07,16.82,100,3045.08,2.2
20240110151001,0.34,1011.17,16.97,100,2833.7,1.93
20240110152001,0.41,1011.19,16.87,100,1986.67,1.04
20240110153001,0.34,1011.3,16.7,100,2165.08,1.24
20240110154001,0.16,1011.43,16.72,100,2444.67,1.52
20240110155001,0.18,1011.48,16.71,100,1969.37,1.1
20240110160001,0.19,1011.58,16.65,100,1528.08,0.74
20240110161001,0.1,1011.68,16.5,100,1376.67,0.6
20240110162001,0.52,1011.86,16.33,100,1188.08,0.45
20240110163001,0.59,1012.01,16.3,100,1225.67,0.47
20240110164001,1.78,1012.14,16.25,100,824.42,0.23
20240110165001,1.42,1012.34,16.16,100,536.08,0.12
20240112090001,0.05,1014.36,22.42,65.26,32177.75,236.64
20240112091001,0.33,1014.37,23.31,60.7,38760.01,358.7
20240112092001,0.87,1014.33,23.21,57.62,45360.99,515.94
20240112093001,1.06,1014.28,24.54,54.07,66270.72,992.65
20240112094001,0.2,1014.18,26,51.43,57197.05,729.63
20240112095001,0.28,1014.1,27.24,47.44,57830.62,725.49
20240112100001,0.94,1014.04,27.46,45.01,52700.72,604.55
20240112101001,0.09,1013.91,26.8,46.86,44837.24,426.07
20240112102001,0.13,1013.76,26.63,47.18,48539.34,486.58
