Serial,Datetime,Date,Month,Hour,Minute,DeviceID,Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),ElevationAngle(degree),Azimuth(degree)
20240119122001,2024-01-19 12:20:00,2024-01-19,1,12,20,1,1014.2602,27.256643,58.05481,32778.547,45.83,183.34
20240119123001,2024-01-19 12:30:00,2024-01-19,1,12,30,1,1014.219,27.257093,58.13543,32965.7,45.55,185.42
20240119124001,2024-01-19 12:40:00,2024-01-19,1,12,40,1,1014.2173,27.183908,58.392696,32652.982,45.13,187.51
20240119125001,2024-01-19 12:50:00,2024-01-19,1,12,50,1,1014.21906,27.115377,58.634766,32369.57,44.6,189.6
20240119130001,2024-01-19 13:00:00,2024-01-19,1,13,0,1,1014.22345,27.052711,58.8598,32112.457,43.93,191.68
20240119131001,2024-01-19 13:10:00,2024-01-19,1,13,10,1,1014.23004,27.006935,59.0566,31870.707,43.16,193.77
20240119132001,2024-01-19 13:20:00,2024-01-19,1,13,20,1,1014.2385,26.977566,59.236736,31658.941,42.27,195.85
20240119133001,2024-01-19 13:30:00,2024-01-19,1,13,30,1,1014.2482,26.949945,59.41,31481.283,41.27,197.94
20240119134001,2024-01-19 13:40:00,2024-01-19,1,13,40,1,1014.25977,26.929043,59.567707,31214.566,40.17,200.02
20240119135001,2024-01-19 13:50:00,2024-01-19,1,13,50,1,1014.2737,26.90437,59.740925,30930.283,38.99,202.11
20240119140001,2024-01-19 14:00:00,2024-01-19,1,14,0,1,1014.2917,26.86394,59.88928,30511.625,37.71,204.2
20240119141001,2024-01-19 14:10:00,2024-01-19,1,14,10,1,1014.30817,26.830828,60.066208,30310.488,36.36,206.28
20240119142001,2024-01-19 14:20:00,2024-01-19,1,14,20,1,1014.3183,26.822668,60.134045,30315.94,34.93,208.37
20240119143001,2024-01-19 14:30:00,2024-01-19,1,14,30,1,1014.3286,26.816422,60.193504,30353.125,33.43,210.45
20240119144001,2024-01-19 14:40:00,2024-01-19,1,14,40,1,1014.3392,26.815304,60.240555,30432.76,31.87,212.54
20240119145001,2024-01-19 14:50:00,2024-01-19,1,14,50,1,1014.35004,26.82203,60.255463,30548.871,30.25,214.63
20240119150001,2024-01-19 15:00:00,2024-01-19,1,15,0,1,1014.36115,26.833374,60.252712,30699.73,28.58,216.71
20240119151001,2024-01-19 15:10:00,2024-01-19,1,15,10,1,1014.3719,26.849434,60.248184,30910.492,26.86,218.8
20240119152001,2024-01-19 15:20:00,2024-01-19,1,15,20,1,1014.3914,26.854422,60.33294,31102.516,25.09,220.88
20240119153001,2024-01-19 15:30:00,2024-01-19,1,15,30,1,1014.40063,26.883524,60.293003,31396.426,23.28,222.97
20240119154001,2024-01-19 15:40:00,2024-01-19,1,15,40,1,1014.40784,26.922348,60.2252,31718.879,21.43,225.06
20240119155001,2024-01-19 15:50:00,2024-01-19,1,15,50,1,1014.41223,26.96094,60.09142,32027.357,19.55,227.14
20240119160001,2024-01-19 16:00:00,2024-01-19,1,16,0,1,1014.41626,27.006653,59.927975,32371.816,17.64,229.23
20240119161001,2024-01-19 16:10:00,2024-01-19,1,16,10,1,1014.4199,27.05804,59.740227,32768.156,15.69,231.31
20240119162001,2024-01-19 16:20:00,2024-01-19,1,16,20,1,1014.4217,27.117584,59.533146,33204.754,13.72,233.4
20240119163001,2024-01-19 16:30:00,2024-01-19,1,16,30,1,1014.4212,27.18566,59.2821,33671.527,11.72,235.48
20240119164001,2024-01-19 16:40:00,2024-01-19,1,16,40,1,1014.42035,27.261957,58.97812,34237.035,9.7,237.57
20240119165001,2024-01-19 16:50:00,2024-01-19,1,16,50,1,1014.4188,27.361164,58.59384,34854.99,7.65,239.66
20240224090001,2024-02-24 09:00:00,2024-02-24,2,9,0,1,1012.07983,30.22936,68.97865,45911.61,33.07,136.76
20240224091001,2024-02-24 09:10:00,2024-02-24,2,9,10,1,1012.01996,30.29539,68.89467,45702.75,35.01,139.08
20240224092001,2024-02-24 09:20:00,2024-02-24,2,9,20,1,1011.9596,30.345606,68.8307,45422.69,36.9,141.39
20240224093001,2024-02-24 09:30:00,2024-02-24,2,9,30,1,1011.84314,30.59093,68.18134,45994.207,38.75,143.7
20240224094001,2024-02-24 09:40:00,2024-02-24,2,9,40,1,1011.7247,30.84241,67.518456,46621.734,40.55,146.01
20240224095001,2024-02-24 09:50:00,2024-02-24,2,9,50,1,1011.66205,30.883604,67.47999,46348.03,42.3,148.32
20240224100001,2024-02-24 10:00:00,2024-02-24,2,10,0,1,1011.59906,30.927639,67.44467,46036.867,43.97,150.64
20240224101001,2024-02-24 10:10:00,2024-02-24,2,10,10,1,1011.53656,30.970715,67.41102,45702.176,45.58,152.95
20240224102001,2024-02-24 10:20:00,2024-02-24,2,10,20,1,1011.47473,31.006561,67.38469,45355.82,47.11,155.26
20240224103001,2024-02-24 10:30:00,2024-02-24,2,10,30,1,1011.3494,31.251907,66.7052,45966.707,48.56,157.57
20240224104001,2024-02-24 10:40:00,2024-02-24,2,10,40,1,1011.2871,31.289968,66.67667,45596.445,49.9,159.88
20240224105001,2024-02-24 10:50:00,2024-02-24,2,10,50,1,1011.2266,31.314758,66.64972,45146.617,51.14,162.2
20240224110001,2024-02-24 11:00:00,2024-02-24,2,11,0,1,1011.18994,31.226524,66.89541,44789.703,52.26,164.51
20240224111001,2024-02-24 11:10:00,2024-02-24,2,11,10,1,1011.1333,31.228745,66.8799,44309.59,53.26,166.82
20240224112001,2024-02-24 11:20:00,2024-02-24,2,11,20,1,1011.07745,31.22778,66.85886,43770.094,54.11,169.13
20240224113001,2024-02-24 11:30:00,2024-02-24,2,11,30,1,1011.02374,31.211693,66.83581,43201.586,54.82,171.45
20240224114001,2024-02-24 11:40:00,2024-02-24,2,11,40,1,1010.9822,31.139297,67.025024,42920.62,55.37,173.76
20240224115001,2024-02-24 11:50:00,2024-02-24,2,11,50,1,1010.9882,30.961435,67.63645,42122.285,55.75,176.07
20240224120001,2024-02-24 12:00:00,2024-02-24,2,12,0,1,1010.9662,30.85006,67.8907,41075.67,55.96,178.38
20240224121001,2024-02-24 12:10:00,2024-02-24,2,12,10,1,1010.9469,30.724644,68.16696,40061.79,55.99,180.69
20240224122001,2024-02-24 12:20:00,2024-02-24,2,12,20,1,1010.9297,30.655712,68.29468,39179.24,55.85,183.01
20240224123001,2024-02-24 12:30:00,2024-02-24,2,12,30,1,1010.915,30.585068,68.4213,38296.836,55.54,185.32
20240224124001,2024-02-24 12:40:00,2024-02-24,2,12,40,1,1010.9033,30.481997,68.67493,37427.39,55.06,187.63
20240224125001,2024-02-24 12:50:00,2024-02-24,2,12,50,1,1010.9277,30.297245,69.22739,35951.55,54.41,189.94
20240224130001,2024-02-24 13:00:00,2024-02-24,2,13,0,1,1010.9077,30.222189,69.40942,35498.86,53.62,192.25
20240224131001,2024-02-24 13:10:00,2024-02-24,2,13,10,1,1010.90515,30.135567,69.64248,34664.652,52.68,194.57
20240224132001,2024-02-24 13:20:00,2024-02-24,2,13,20,1,1010.8982,30.037142,69.89404,33835.227,51.61,196.88
20240224133001,2024-02-24 13:30:00,2024-02-24,2,13,30,1,1010.9063,29.936415,70.18916,33475.332,50.41,199.19
20240224134001,2024-02-24 13:40:00,2024-02-24,2,13,40,1,1010.9445,29.814466,70.64033,32963.652,49.11,201.5
20240224135001,2024-02-24 13:50:00,2024-02-24,2,13,50,1,1010.8955,29.860289,70.57471,33277.984,47.7,203.82
20240224140001,2024-02-24 14:00:00,2024-02-24,2,14,0,1,1010.8853,29.85321,70.643486,33347.926,46.21,206.13
20240224141001,2024-02-24 14:10:00,2024-02-24,2,14,10,1,1010.8949,29.807375,70.7471,33125.44,44.63,208.44
20240224142001,2024-02-24 14:20:00,2024-02-24,2,14,20,1,1010.9058,29.769335,70.84232,32964.883,42.98,210.75
20240224143001,2024-02-24 14:30:00,2024-02-24,2,14,30,1,1010.91846,29.728,70.947784,32570.387,41.26,213.06
20240224144001,2024-02-24 14:40:00,2024-02-24,2,14,40,1,1010.9018,29.727022,70.90836,32352.45,39.48,215.38
20240224145001,2024-02-24 14:50:00,2024-02-24,2,14,50,1,1010.97107,29.599148,71.3351,32266.145,37.65,217.69
20240224150001,2024-02-24 15:00:00,2024-02-24,2,15,0,1,1010.96405,29.634962,71.25584,32418.496,35.77,220.0
20240224151001,2024-02-24 15:10:00,2024-02-24,2,15,10,1,1010.9569,29.682774,71.158875,32681.258,33.85,222.31
20240224152001,2024-02-24 15:20:00,2024-02-24,2,15,20,1,1010.974,29.695818,71.17364,32969.117,31.89,224.62
20240224153001,2024-02-24 15:30:00,2024-02-24,2,15,30,1,1010.98676,29.72172,71.169395,33354.08,29.9,226.94
20240224154001,2024-02-24 15:40:00,2024-02-24,2,15,40,1,1011.0322,29.703163,71.308754,33784.77,27.87,229.25
20240224155001,2024-02-24 15:50:00,2024-02-24,2,15,50,1,1011.0387,29.747292,71.25685,34317.87,25.82,231.56
20240224160001,2024-02-24 16:00:00,2024-02-24,2,16,0,1,1011.0745,29.782373,71.21151,34881.43,23.74,233.87
20240224161001,2024-02-24 16:10:00,2024-02-24,2,16,10,1,1011.1161,29.822424,71.08055,35450.89,21.64,236.18
20240224162001,2024-02-24 16:20:00,2024-02-24,2,16,20,1,1011.1314,29.90114,70.82473,36043.617,19.52,238.5
20240224163001,2024-02-24 16:30:00,2024-02-24,2,16,30,1,1011.1316,29.994913,70.497955,36651.977,17.38,240.81
20240224164001,2024-02-24 16:40:00,2024-02-24,2,16,40,1,1011.1157,30.130295,70.026665,37318.484,15.22,243.12
20240224165001,2024-02-24 16:50:00,2024-02-24,2,16,50,1,1011.15045,30.224398,69.6577,38038.066,13.04,245.43
20240226090001,2024-02-26 09:00:00,2024-02-26,2,9,0,1,1013.358,26.242691,79.62427,34501.055,33.67,136.53
20240226091001,2024-02-26 09:10:00,2024-02-26,2,9,10,1,1013.3094,26.29733,79.57464,34410.133,35.63,138.86
20240226092001,2024-02-26 09:20:00,2024-02-26,2,9,20,1,1013.2603,26.34165,79.53848,34272.074,37.55,141.19
20240226093001,2024-02-26 09:30:00,2024-02-26,2,9,30,1,1013.1753,26.522413,79.112206,34742.277,39.42,143.52
20240226094001,2024-02-26 09:40:00,2024-02-26,2,9,40,1,1013.0889,26.70611,78.67704,35231.992,41.24,145.85
20240226095001,2024-02-26 09:50:00,2024-02-26,2,9,50,1,1013.03796,26.742903,78.658295,35089.93,43.01,148.18
20240226100001,2024-02-26 10:00:00,2024-02-26,2,10,0,1,1012.9866,26.780464,78.64181,34910.367,44.71,150.51
20240226101001,2024-02-26 10:10:00,2024-02-26,2,10,10,1,1012.93616,26.81478,78.626564,34711.97,46.35,152.84
20240226102001,2024-02-26 10:20:00,2024-02-26,2,10,20,1,1012.8867,26.843212,78.616356,34502.61,47.91,155.18
20240226103001,2024-02-26 10:30:00,2024-02-26,2,10,30,1,1012.79834,27.017967,78.17086,34938.695,49.38,157.51
20240226104001,2024-02-26 10:40:00,2024-02-26,2,10,40,1,1012.75037,27.049799,78.15949,34699.895,50.75,159.84
20240226105001,2024-02-26 10:50:00,2024-02-26,2,10,50,1,1012.70404,27.07292,78.14934,34416.723,52.02,162.17
20240226110001,2024-02-26 11:00:00,2024-02-26,2,11,0,1,1012.65955,27.084925,78.143005,34124.75,53.17,164.5
20240226111001,2024-02-26 11:10:00,2024-02-26,2,11,10,1,1012.6162,27.096834,78.1371,33791.16,54.18,166.83
20240226112001,2024-02-26 11:20:00,2024-02-26,2,11,20,1,1012.57404,27.1051,78.127594,33397.176,55.06,169.16
20240226113001,2024-02-26 11:30:00,2024-02-26,2,11,30,1,1012.5341,27.099998,78.11685,32969.523,55.78,171.49
20240226114001,2024-02-26 11:40:00,2024-02-26,2,11,40,1,1012.5241,26.941942,78.541084,32475.393,56.35,173.82
20240226115001,2024-02-26 11:50:00,2024-02-26,2,11,50,1,1012.5241,26.833164,78.92958,31669.559,56.74,176.15
20240226120001,2024-02-26 12:00:00,2024-02-26,2,12,0,1,1012.5043,26.7412,79.12603,30872.08,56.96,178.48
20240226121001,2024-02-26 12:10:00,2024-02-26,2,12,10,1,1012.5028,26.550459,79.56136,29832.47,56.99,180.82
20240226122001,2024-02-26 12:20:00,2024-02-26,2,12,20,1,1012.4786,26.53165,79.533615,29366.633,56.85,183.15
20240226123001,2024-02-26 12:30:00,2024-02-26,2,12,30,1,1012.4745,26.434185,79.69869,28597.42,56.53,185.48
20240226124001,2024-02-26 12:40:00,2024-02-26,2,12,40,1,1012.465,26.345938,79.89736,27972.941,56.03,187.81
20240226125001,2024-02-26 12:50:00,2024-02-26,2,12,50,1,1012.48114,26.20627,80.30266,26868.502,55.37,190.14
20240226130001,2024-02-26 13:00:00,2024-02-26,2,13,0,1,1012.4774,26.114214,80.509636,26410.465,54.55,192.47
20240226131001,2024-02-26 13:10:00,2024-02-26,2,13,10,1,1012.4767,26.035967,80.693535,25844.83,53.59,194.8
20240226132001,2024-02-26 13:20:00,2024-02-26,2,13,20,1,1012.44824,25.998314,80.694374,25469.459,52.49,197.13
20240226133001,2024-02-26 13:30:00,2024-02-26,2,13,30,1,1012.4515,25.9213,80.862274,25288.463,51.27,199.46
20240226134001,2024-02-26 13:40:00,2024-02-26,2,13,40,1,1012.51746,25.737265,81.52066,24913.533,49.94,201.79
20240226135001,2024-02-26 13:50:00,2024-02-26,2,13,50,1,1012.494,25.752277,81.4997,25099.49,48.51,204.13
20240226140001,2024-02-26 14:00:00,2024-02-26,2,14,0,1,1012.5025,25.716179,81.62563,25095.39,46.98,206.46
20240226141001,2024-02-26 14:10:00,2024-02-26,2,14,10,1,1012.5044,25.714432,81.5979,25081.797,45.38,208.79
20240226142001,2024-02-26 14:20:00,2024-02-26,2,14,20,1,1012.5266,25.629211,81.76817,24697.316,43.7,211.12
20240226143001,2024-02-26 14:30:00,2024-02-26,2,14,30,1,1012.5503,25.535967,81.97792,24313.533,41.96,213.45
20240226144001,2024-02-26 14:40:00,2024-02-26,2,14,40,1,1012.4909,25.5863,81.71705,24423.756,40.16,215.78
20240226145001,2024-02-26 14:50:00,2024-02-26,2,14,50,1,1012.5261,25.571327,81.84542,24609.365,38.3,218.11
20240226150001,2024-02-26 15:00:00,2024-02-26,2,15,0,1,1012.53033,25.593924,81.81248,24723.344,36.4,220.44
20240226151001,2024-02-26 15:10:00,2024-02-26,2,15,10,1,1012.5559,25.557547,81.93545,24825.79,34.46,222.77
20240226152001,2024-02-26 15:20:00,2024-02-26,2,15,20,1,1012.5826,25.52635,82.03941,24919.363,32.48,225.1
20240226153001,2024-02-26 15:30:00,2024-02-26,2,15,30,1,1012.59436,25.540024,82.0704,25193.275,30.47,227.43
20240226154001,2024-02-26 15:40:00,2024-02-26,2,15,40,1,1012.62787,25.547733,82.14693,25557.385,28.43,229.77
20240226155001,2024-02-26 15:50:00,2024-02-26,2,15,50,1,1012.6387,25.588987,82.09041,25926.287,26.36,232.1
20240226160001,2024-02-26 16:00:00,2024-02-26,2,16,0,1,1012.66907,25.637648,81.99368,26343.717,24.27,234.43
20240226161001,2024-02-26 16:10:00,2024-02-26,2,16,10,1,1012.6983,25.699404,81.806885,26783.018,22.15,236.76
20240226162001,2024-02-26 16:20:00,2024-02-26,2,16,20,1,1012.7056,25.776525,81.56833,27236.0,20.01,239.09
20240226163001,2024-02-26 16:30:00,2024-02-26,2,16,30,1,1012.6789,25.903051,81.1867,27712.959,17.86,241.42
20240226164001,2024-02-26 16:40:00,2024-02-26,2,16,40,1,1012.6496,26.038046,80.794754,28213.762,15.69,243.75
20240226165001,2024-02-26 16:50:00,2024-02-26,2,16,50,1,1012.6707,26.128561,80.52436,28743.516,13.51,246.08
20240327090001,2024-03-27 09:00:00,2024-03-27,3,9,0,1,1011.1149,33.708862,63.234585,43439.38,41.99,134.96
20240327091001,2024-03-27 09:10:00,2024-03-27,3,9,10,1,1011.0787,33.442245,63.88878,42609.723,44.14,137.49
20240327092001,2024-03-27 09:20:00,2024-03-27,3,9,20,1,1011.03955,33.167526,64.55716,41639.414,46.26,140.03
20240327093001,2024-03-27 09:30:00,2024-03-27,3,9,30,1,1010.9993,32.860878,65.27391,40601.688,48.36,142.57
20240327094001,2024-03-27 09:40:00,2024-03-27,3,9,40,1,1010.95544,32.540672,66.026955,39482.99,50.42,145.1
20240327095001,2024-03-27 09:50:00,2024-03-27,3,9,50,1,1010.9081,32.225006,66.788704,38295.71,52.44,147.64
20240327100001,2024-03-27 10:00:00,2024-03-27,3,10,0,1,1010.8612,31.915573,67.56004,37065.805,54.41,150.18
20240327101001,2024-03-27 10:10:00,2024-03-27,3,10,10,1,1010.8612,31.915573,67.56004,37065.805,56.33,152.72
20240327102001,2024-03-27 10:20:00,2024-03-27,3,10,20,1,1010.8081,31.753918,68.07715,35731.777,58.18,155.25
20240327103001,2024-03-27 10:30:00,2024-03-27,3,10,30,1,1010.8081,31.753918,68.07715,35731.777,59.95,157.79
20240327104001,2024-03-27 10:40:00,2024-03-27,3,10,40,1,1010.75134,31.589005,68.546005,34516.61,61.63,160.33
20240327105001,2024-03-27 10:50:00,2024-03-27,3,10,50,1,1010.6929,31.42333,69.02461,33345.594,63.19,162.87
20240327110001,2024-03-27 11:00:00,2024-03-27,3,11,0,1,1010.6347,31.271229,69.46449,32248.941,64.62,165.4
20240327111001,2024-03-27 11:10:00,2024-03-27,3,11,10,1,1010.6347,31.271229,69.46449,32248.941,65.89,167.94
20240327112001,2024-03-27 11:20:00,2024-03-27,3,11,20,1,1010.5746,31.111254,69.90693,30676.785,66.98,170.48
20240327113001,2024-03-27 11:30:00,2024-03-27,3,11,30,1,1010.5106,30.97277,70.29431,30443.586,67.86,173.01
20240327114001,2024-03-27 11:40:00,2024-03-27,3,11,40,1,1010.4406,30.95368,70.39973,30835.236,68.5,175.55
20240327115001,2024-03-27 11:50:00,2024-03-27,3,11,50,1,1010.36554,30.99376,70.34057,31249.637,68.89,178.09
20240327120001,2024-03-27 12:00:00,2024-03-27,3,12,0,1,1010.36554,30.99376,70.34057,31249.637,69.0,180.63
20240327121001,2024-03-27 12:10:00,2024-03-27,3,12,10,1,1010.2865,31.088629,70.042244,31717.783,68.83,183.16
20240327122001,2024-03-27 12:20:00,2024-03-27,3,12,20,1,1010.33307,30.878809,70.61438,30157.322,68.4,185.7
20240327123001,2024-03-27 12:30:00,2024-03-27,3,12,30,1,1010.31744,30.836805,70.6678,29627.518,67.7,188.24
20240327124001,2024-03-27 12:40:00,2024-03-27,3,12,40,1,1010.3033,30.797571,70.712234,29118.373,66.78,190.78
20240327125001,2024-03-27 12:50:00,2024-03-27,3,12,50,1,1010.28986,30.760334,70.73072,28652.396,65.65,193.31
20240327130001,2024-03-27 13:00:00,2024-03-27,3,13,0,1,1010.2769,30.72107,70.74282,28192.883,64.35,195.85
20240327131001,2024-03-27 13:10:00,2024-03-27,3,13,10,1,1010.19104,30.874216,70.13683,28591.516,62.89,198.39
20240327132001,2024-03-27 13:20:00,2024-03-27,3,13,20,1,1010.17883,30.84368,70.125,28180.41,61.3,200.93
