Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),ElevationAngle(degree),Azimuth(degree),Datetime,Date,Month,Hour,Minute,DeviceID,DeviceID_01,DeviceID_02,DeviceID_03,DeviceID_04,DeviceID_05,DeviceID_06,DeviceID_07,DeviceID_08,DeviceID_09,DeviceID_10,DeviceID_11,DeviceID_12,DeviceID_13,DeviceID_14,DeviceID_15,DeviceID_16,DeviceID_17
20240102073001,0.11,1014.92,16.24,100.0,15173.17,101.45,9.96,125.75,2024-01-02 07:30:00,2024-01-02,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102074001,0.06,1014.98,18.97,100.0,25676.25,265.02,11.91,127.78,2024-01-02 07:40:00,2024-01-02,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102075001,0.11,1014.91,22.21,90.75,32754.75,386.96,13.83,129.8,2024-01-02 07:50:00,2024-01-02,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102080001,0.29,1014.86,24.48,71.4,39953.71,513.66,15.72,131.83,2024-01-02 08:00:00,2024-01-02,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102081001,0.42,1014.87,25.97,63.99,46366.74,635.5,17.59,133.86,2024-01-02 08:10:00,2024-01-02,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102082001,0.32,1014.81,27.1,59.17,52176.04,767.84,19.41,135.89,2024-01-02 08:20:00,2024-01-02,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102083001,0.72,1014.8,27.78,55.52,57116.18,908.43,21.2,137.92,2024-01-02 08:30:00,2024-01-02,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102084001,0.98,1014.8,28.2,52.96,60843.08,1006.15,22.95,139.95,2024-01-02 08:40:00,2024-01-02,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240102085001,0.1,1014.85,29.01,52.95,66731.44,1164.03,24.66,141.97,2024-01-02 08:50:00,2024-01-02,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103070001,0.71,1011.79,15.44,100.0,1389.42,0.56,3.77,119.66,2024-01-03 07:00:00,2024-01-03,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103071001,1.7,1011.84,15.65,100.0,2028.33,1.15,5.79,121.68,2024-01-03 07:10:00,2024-01-03,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103072001,1.1,1011.93,15.86,100.0,2586.08,1.78,7.79,123.71,2024-01-03 07:20:00,2024-01-03,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103073001,1.06,1011.96,16.17,100.0,3726.58,3.58,9.77,125.73,2024-01-03 07:30:00,2024-01-03,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103074001,0.71,1012.05,16.48,100.0,5264.83,6.63,11.72,127.76,2024-01-03 07:40:00,2024-01-03,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103075001,0.38,1012.19,16.9,100.0,6447.67,9.9,13.64,129.78,2024-01-03 07:50:00,2024-01-03,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103080001,0.42,1012.33,17.52,100.0,9641.75,21.8,15.54,131.81,2024-01-03 08:00:00,2024-01-03,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103081001,0.2,1012.42,18.38,100.0,13379.0,40.93,17.4,133.83,2024-01-03 08:10:00,2024-01-03,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103082001,0.76,1012.56,19.48,100.0,13697.58,45.73,19.23,135.86,2024-01-03 08:20:00,2024-01-03,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103083001,0.28,1012.55,20.29,98.06,16763.25,64.55,21.03,137.88,2024-01-03 08:30:00,2024-01-03,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103084001,0.07,1012.56,20.99,92.8,19599.42,87.15,22.78,139.91,2024-01-03 08:40:00,2024-01-03,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103085001,0.16,1012.64,22.33,85.58,24937.17,140.44,24.49,141.93,2024-01-03 08:50:00,2024-01-03,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104070001,3.29,1016.18,14.52,100.0,1572.0,0.67,3.77,119.66,2024-01-04 07:00:00,2024-01-04,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104071001,3.43,1016.26,14.73,100.0,2356.58,1.42,5.79,121.68,2024-01-04 07:10:00,2024-01-04,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104072001,3.48,1016.39,14.98,100.0,3137.92,2.45,7.79,123.71,2024-01-04 07:20:00,2024-01-04,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104073001,3.65,1016.5,15.21,100.0,4038.75,4.0,9.77,125.73,2024-01-04 07:30:00,2024-01-04,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104074001,3.96,1016.54,15.53,98.97,5088.67,6.24,11.72,127.76,2024-01-04 07:40:00,2024-01-04,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104075001,0.8,1016.66,15.78,95.63,5937.08,8.42,13.64,129.78,2024-01-04 07:50:00,2024-01-04,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104080001,0.0,1016.82,16.03,92.73,6521.33,9.97,15.54,131.81,2024-01-04 08:00:00,2024-01-04,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104081001,0.0,1016.91,16.3,90.58,7214.08,12.07,17.4,133.83,2024-01-04 08:10:00,2024-01-04,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104082001,0.0,1017.07,16.62,89.8,7620.83,13.51,19.23,135.86,2024-01-04 08:20:00,2024-01-04,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104083001,0.0,1017.2,16.83,89.07,8065.92,14.96,21.03,137.88,2024-01-04 08:30:00,2024-01-04,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104084001,0.0,1017.27,17.1,88.83,8736.17,17.52,22.78,139.91,2024-01-04 08:40:00,2024-01-04,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104085001,0.0,1017.34,17.45,87.42,9704.17,21.51,24.49,141.93,2024-01-04 08:50:00,2024-01-04,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105070001,0.0,1015.32,12.72,100.0,4887.75,16.56,3.57,119.65,2024-01-05 07:00:00,2024-01-05,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105071001,0.0,1015.38,14.38,100.0,9335.5,56.8,5.59,121.67,2024-01-05 07:10:00,2024-01-05,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105072001,0.0,1015.48,16.42,100.0,13769.75,101.68,7.59,123.69,2024-01-05 07:20:00,2024-01-05,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105073001,0.0,1015.55,18.44,97.31,19419.25,172.91,9.57,125.72,2024-01-05 07:30:00,2024-01-05,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105074001,1.06,1015.67,19.93,81.47,25855.16,270.8,11.52,127.74,2024-01-05 07:40:00,2024-01-05,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105075001,1.01,1015.74,21.46,71.45,32208.08,377.13,13.45,129.76,2024-01-05 07:50:00,2024-01-05,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105080001,0.0,1015.74,22.97,63.43,38149.24,484.15,15.35,131.78,2024-01-05 08:00:00,2024-01-05,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105081001,0.0,1015.78,24.08,59.47,43991.63,581.81,17.22,133.8,2024-01-05 08:10:00,2024-01-05,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105082001,2.14,1015.81,24.87,57.3,50508.18,713.85,19.05,135.82,2024-01-05 08:20:00,2024-01-05,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105083001,0.78,1015.86,26.29,53.68,55909.76,860.25,20.85,137.85,2024-01-05 08:30:00,2024-01-05,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105084001,1.35,1015.91,27.54,49.21,61080.27,991.46,22.61,139.87,2024-01-05 08:40:00,2024-01-05,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240105085001,1.55,1015.94,27.1,49.94,66768.28,1132.29,24.32,141.89,2024-01-05 08:50:00,2024-01-05,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106070001,0.37,1014.97,12.71,100.0,5165.17,17.83,3.57,118.52,2024-01-06 07:00:00,2024-01-06,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106071001,0.69,1014.98,14.4,100.0,11783.33,84.87,5.59,120.57,2024-01-06 07:10:00,2024-01-06,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106072001,0.55,1015.08,16.56,100.0,13277.66,149.77,7.59,122.62,2024-01-06 07:20:00,2024-01-06,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106073001,0.6,1015.23,18.43,100.0,19411.25,193.42,9.57,124.67,2024-01-06 07:30:00,2024-01-06,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106074001,0.32,1015.39,19.4,95.18,24100.0,254.17,11.52,126.73,2024-01-06 07:40:00,2024-01-06,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106075001,0.37,1015.56,20.07,87.42,23042.9,209.74,13.45,128.78,2024-01-06 07:50:00,2024-01-06,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106080001,0.45,1015.55,21.06,82.78,39418.59,505.61,15.35,130.83,2024-01-06 08:00:00,2024-01-06,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106081001,0.47,1015.68,23.87,67.12,42034.88,536.7,17.22,132.89,2024-01-06 08:10:00,2024-01-06,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106082001,0.8,1015.82,23.83,64.22,28248.86,237.88,19.05,134.94,2024-01-06 08:20:00,2024-01-06,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106083001,0.49,1015.84,23.52,65.16,55101.75,880.25,20.85,136.99,2024-01-06 08:30:00,2024-01-06,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106084001,0.5,1015.8,26.3,57.19,56151.27,870.18,22.61,139.05,2024-01-06 08:40:00,2024-01-06,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240106085001,0.73,1015.77,27.46,52.75,66608.36,1106.22,24.32,141.1,2024-01-06 08:50:00,2024-01-06,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107070001,0.0,1016.82,17.7,100.0,462.08,0.1,4.04,118.52,2024-01-07 07:00:00,2024-01-07,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107071001,0.03,1016.94,17.79,100.0,758.33,0.23,6.07,120.57,2024-01-07 07:10:00,2024-01-07,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107072001,0.0,1017.11,17.81,100.0,1065.58,0.37,8.09,122.62,2024-01-07 07:20:00,2024-01-07,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107073001,0.04,1017.34,17.89,100.0,1087.5,0.35,10.09,124.67,2024-01-07 07:30:00,2024-01-07,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107074001,0.09,1017.54,17.89,100.0,1102.42,0.37,12.06,126.73,2024-01-07 07:40:00,2024-01-07,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107075001,0.02,1017.7,17.9,100.0,1739.33,0.83,14.0,128.78,2024-01-07 07:50:00,2024-01-07,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107080001,0.1,1017.73,18.03,100.0,2345.08,1.38,15.92,130.83,2024-01-07 08:00:00,2024-01-07,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107081001,0.01,1017.85,18.17,100.0,2169.5,1.23,17.81,132.89,2024-01-07 08:10:00,2024-01-07,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107082001,0.0,1017.9,18.25,100.0,2279.67,1.35,19.66,134.94,2024-01-07 08:20:00,2024-01-07,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107083001,0.0,1017.97,18.31,100.0,2286.17,1.29,21.48,136.99,2024-01-07 08:30:00,2024-01-07,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107084001,0.0,1018.09,18.46,100.0,1982.0,1.03,23.26,139.05,2024-01-07 08:40:00,2024-01-07,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240107085001,0.02,1018.22,18.52,100.0,2414.58,1.38,25.0,141.1,2024-01-07 08:50:00,2024-01-07,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108070001,0.97,1016.38,15.04,100.0,3269.58,3.29,3.83,118.51,2024-01-08 07:00:00,2024-01-08,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108071001,0.01,1016.45,15.5,100.0,5318.58,8.48,5.87,120.56,2024-01-08 07:10:00,2024-01-08,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108072001,0.03,1016.5,16.08,100.0,7280.67,17.12,7.89,122.61,2024-01-08 07:20:00,2024-01-08,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108073001,0.0,1016.5,16.5,100.0,8549.67,19.9,9.89,124.66,2024-01-08 07:30:00,2024-01-08,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108074001,0.05,1016.53,16.91,100.0,9614.08,25.53,11.86,126.71,2024-01-08 07:40:00,2024-01-08,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108075001,0.1,1016.65,17.43,100.0,16017.33,88.1,13.81,128.76,2024-01-08 07:50:00,2024-01-08,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108080001,0.46,1016.63,19.3,100.0,20343.08,132.63,15.73,130.81,2024-01-08 08:00:00,2024-01-08,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108081001,0.7,1016.71,20.8,91.96,23013.16,144.16,17.62,132.86,2024-01-08 08:10:00,2024-01-08,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108082001,0.27,1016.61,21.44,85.61,28986.14,225.66,19.48,134.91,2024-01-08 08:20:00,2024-01-08,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108083001,0.18,1016.59,24.15,75.98,37589.16,438.92,21.3,136.96,2024-01-08 08:30:00,2024-01-08,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108084001,0.93,1016.76,25.17,64.32,31006.04,255.58,23.08,139.01,2024-01-08 08:40:00,2024-01-08,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240108085001,0.6,1016.89,24.34,65.61,26201.96,216.51,24.83,141.06,2024-01-08 08:50:00,2024-01-08,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109070001,0.92,1011.34,14.69,100.0,2152.42,1.2,3.83,118.5,2024-01-09 07:00:00,2024-01-09,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109071001,1.21,1011.34,15.01,100.0,5778.83,26.51,5.87,120.55,2024-01-09 07:10:00,2024-01-09,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109072001,1.73,1011.38,17.26,100.0,15515.0,147.69,7.89,122.6,2024-01-09 07:20:00,2024-01-09,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109073001,1.17,1011.52,19.52,100.0,10109.75,63.19,9.89,124.64,2024-01-09 07:30:00,2024-01-09,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109074001,0.85,1011.59,17.84,100.0,5405.25,6.73,11.86,126.69,2024-01-09 07:40:00,2024-01-09,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109075001,1.02,1011.72,16.67,100.0,5861.25,7.21,13.81,128.73,2024-01-09 07:50:00,2024-01-09,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109080001,0.31,1011.75,16.33,100.0,7493.67,12.53,15.73,130.78,2024-01-09 08:00:00,2024-01-09,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109081001,0.28,1011.82,16.59,100.0,10528.92,25.38,17.62,132.83,2024-01-09 08:10:00,2024-01-09,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109082001,0.24,1011.83,16.96,100.0,13011.75,37.03,19.48,134.87,2024-01-09 08:20:00,2024-01-09,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109083001,0.84,1011.85,18.12,100.0,38173.38,431.21,21.3,136.92,2024-01-09 08:30:00,2024-01-09,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109084001,1.05,1011.74,22.96,84.86,68482.5,1163.23,23.08,138.97,2024-01-09 08:40:00,2024-01-09,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240109085001,1.05,1011.71,27.2,61.63,72668.14,1238.49,24.83,141.01,2024-01-09 08:50:00,2024-01-09,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110070001,0.06,1010.49,18.11,100.0,961.75,0.42,3.63,118.5,2024-01-10 07:00:00,2024-01-10,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110071001,0.05,1010.61,18.21,100.0,1492.17,0.77,5.67,120.55,2024-01-10 07:10:00,2024-01-10,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110072001,0.0,1010.73,18.33,100.0,1882.58,1.01,7.69,122.6,2024-01-10 07:20:00,2024-01-10,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110073001,0.35,1010.77,18.44,100.0,1756.75,0.88,9.69,124.64,2024-01-10 07:30:00,2024-01-10,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110074001,0.04,1010.89,18.51,100.0,1724.25,0.87,11.67,126.69,2024-01-10 07:40:00,2024-01-10,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110075001,0.0,1011.06,18.62,100.0,2784.83,2.09,13.62,128.73,2024-01-10 07:50:00,2024-01-10,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110080001,0.0,1011.22,18.83,100.0,3747.5,3.76,15.54,130.78,2024-01-10 08:00:00,2024-01-10,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110081001,0.0,1011.34,19.19,100.0,5074.83,6.75,17.43,132.83,2024-01-10 08:10:00,2024-01-10,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110082001,0.32,1011.49,19.43,100.0,8301.5,17.35,19.29,134.87,2024-01-10 08:20:00,2024-01-10,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110083001,0.0,1011.68,19.52,100.0,8518.17,17.47,21.12,136.92,2024-01-10 08:30:00,2024-01-10,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110084001,0.52,1011.74,19.79,100.0,13664.83,44.93,22.91,138.97,2024-01-10 08:40:00,2024-01-10,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240110085001,0.62,1011.83,19.68,100.0,12904.92,40.32,24.65,141.01,2024-01-10 08:50:00,2024-01-10,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111070001,0.0,1015.7,13.91,100.0,1435.42,0.58,3.63,118.5,2024-01-11 07:00:00,2024-01-11,1,7,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111071001,0.0,1015.81,14.03,100.0,2589.08,1.78,5.67,120.54,2024-01-11 07:10:00,2024-01-11,1,7,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111072001,0.01,1015.98,14.37,100.0,3622.83,3.32,7.69,122.58,2024-01-11 07:20:00,2024-01-11,1,7,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111073001,0.01,1016.14,14.76,100.0,4462.08,4.94,9.69,124.63,2024-01-11 07:30:00,2024-01-11,1,7,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111074001,0.0,1016.27,15.12,100.0,5758.42,7.97,11.67,126.67,2024-01-11 07:40:00,2024-01-11,1,7,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111075001,0.16,1016.29,15.47,97.96,7279.17,12.27,13.62,128.71,2024-01-11 07:50:00,2024-01-11,1,7,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111080001,0.0,1016.39,15.77,95.1,7929.33,14.36,15.54,130.76,2024-01-11 08:00:00,2024-01-11,1,8,0,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111081001,0.03,1016.45,16.18,91.92,8774.33,17.67,17.43,132.8,2024-01-11 08:10:00,2024-01-11,1,8,10,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111082001,0.02,1016.49,16.58,89.28,10013.5,22.84,19.29,134.84,2024-01-11 08:20:00,2024-01-11,1,8,20,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111083001,0.11,1016.51,17.03,86.67,11335.08,29.08,21.12,136.89,2024-01-11 08:30:00,2024-01-11,1,8,30,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111084001,0.0,1016.58,17.39,85.09,11982.87,32.35,22.91,138.93,2024-01-11 08:40:00,2024-01-11,1,8,40,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111085001,0.04,1016.58,17.8,82.83,13097.5,38.68,24.65,140.97,2024-01-11 08:50:00,2024-01-11,1,8,50,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
